,a
0,b'Drink'
1,b'Person'
2,b'Human hand'
3,b'Food'
4,b'Human hand'
5,b'Wine glass'
6,b'Human hand'
7,b'Tableware'
8,b'Food'
9,b'Human arm'
10,b'Wine'
11,b'Drink'
12,b'Human hand'
13,b'Human arm'
14,b'Wine'
15,b'Food'
16,b'Food'
17,b'Food'
18,b'Human arm'
19,b'Human hand'
20,b'Wine'
21,b'Drink'
22,b'Human hand'
23,b'Wine'
24,b'Drink'
25,b'Food'
26,b'Tea'
27,b'Clothing'
28,b'Human hand'
29,b'Wine'
30,b'Dessert'
31,b'Person'
32,b'Food'
33,b'Dairy'
34,b'Table'
35,b'Food'
36,b'Human hand'
37,b'Human hand'
38,b'Food'
39,b'Man'
40,b'Tableware'
41,b'Drink'
42,b'Food'
43,b'Human ear'
44,b'Dessert'
45,b'Person'
46,b'Snack'
47,b'Drink'
48,b'Wine glass'
49,b'Beer'
50,b'Human hand'
51,b'Clothing'
52,b'Tableware'
53,b'Dessert'
54,b'Human leg'
55,b'Wine glass'
56,b'Food'
57,b'Cocktail'
58,b'Human hand'
59,b'Human foot'
60,b'Human hand'
61,b'Person'
62,b'Food'
63,b'Human arm'
64,b'Drink'
65,b'Food'
66,b'Wine glass'
67,b'Food'
68,b'Human arm'
69,b'Human hand'
70,b'Dairy'
71,b'Snack'
72,b'Auto part'
73,b'Clothing'
74,b'Mammal'
75,b'Dairy'
76,b'Dessert'
77,b'Footwear'
78,b'Snack'
79,b'Baked goods'
80,b'Fashion accessory'
81,b'Tableware'
82,b'Human leg'
83,b'Person'
84,b'Human arm'
85,b'Animal'
86,b'Snack'
87,b'Drink'
88,b'Fast food'
89,b'Kitchen utensil'
90,b'Wine glass'
91,b'Human arm'
92,b'Medical equipment'
93,b'Human arm'
94,b'Dessert'
95,b'Human arm'
96,b'Book'
97,b'Food'
98,b'Fashion accessory'
99,b'Guitar'
