,a
0,b'Man'
1,b'Clothing'
2,b'Man'
3,b'Footwear'
4,b'Footwear'
5,b'Footwear'
6,b'Building'
7,b'Person'
8,b'Clothing'
9,b'Man'
10,b'Person'
11,b'Human face'
12,b'Footwear'
13,b'Human arm'
14,b'Human face'
15,b'Person'
16,b'Clothing'
17,b'Footwear'
18,b'Clothing'
19,b'Human hair'
20,b'Man'
21,b'Trousers'
22,b'Footwear'
23,b'Human arm'
24,b'Human leg'
25,b'Human head'
26,b'Person'
27,b'Human leg'
28,b'Footwear'
29,b'Human head'
30,b'Woman'
31,b'Human leg'
32,b'Woman'
33,b'Human body'
34,b'Human body'
35,b'Footwear'
36,b'Man'
37,b'Human face'
38,b'Footwear'
39,b'Building'
40,b'Building'
41,b'Human face'
42,b'Clothing'
43,b'Human hair'
44,b'Human hair'
45,b'Human head'
46,b'Clothing'
47,b'Boy'
48,b'Mammal'
49,b'Building'
50,b'Footwear'
51,b'Human leg'
52,b'Human hair'
53,b'Mammal'
54,b'Girl'
55,b'Jeans'
56,b'Footwear'
57,b'Human leg'
58,b'Mammal'
59,b'Person'
60,b'Clothing'
61,b'Footwear'
62,b'Woman'
63,b'Person'
64,b'Human face'
65,b'Mammal'
66,b'Man'
67,b'Footwear'
68,b'Human head'
69,b'Wheel'
70,b'Person'
71,b'Human face'
72,b'Human body'
73,b'Human leg'
74,b'Window'
75,b'Jacket'
76,b'Shirt'
77,b'Human leg'
78,b'Window'
79,b'House'
80,b'Sports uniform'
81,b'Boy'
82,b'Footwear'
83,b'Human body'
84,b'Footwear'
85,b'Flag'
86,b'Man'
87,b'Human face'
88,b'Shirt'
89,b'Chair'
90,b'Human arm'
91,b'Sports equipment'
92,b'Footwear'
93,b'Fashion accessory'
94,b'Person'
95,b'Land vehicle'
96,b'Coat'
97,b'Girl'
98,b'Human face'
99,b'Person'
