,a
0,b'Human face'
1,b'Woman'
2,b'Clothing'
3,b'Lamp'
4,b'Human eye'
5,b'Human eye'
6,b'Human hair'
7,b'Woman'
8,b'Human mouth'
9,b'Human head'
10,b'Human ear'
11,b'Human nose'
12,b'Lamp'
13,b'Person'
14,b'Table'
15,b'Girl'
16,b'Suit'
17,b'Man'
18,b'Person'
19,b'Man'
20,b'Clothing'
21,b'Fashion accessory'
22,b'Human head'
23,b'Human face'
24,b'Human face'
25,b'Man'
26,b'Furniture'
27,b'Mammal'
28,b'Woman'
29,b'Human arm'
30,b'Woman'
31,b'Girl'
32,b'Lamp'
33,b'Lipstick'
34,b'Human hand'
35,b'Human hair'
36,b'Shirt'
37,b'Fashion accessory'
38,b'Furniture'
39,b'Human ear'
40,b'Human body'
41,b'Bottle'
42,b'Light bulb'
43,b'Clothing'
44,b'Person'
45,b'Human body'
46,b'Lamp'
47,b'Woman'
48,b'Helmet'
49,b'Clothing'
50,b'Lamp'
51,b'Chair'
52,b'Human hair'
53,b'Furniture'
54,b'Chair'
55,b'Dress'
56,b'Jacket'
57,b'Clothing'
58,b'Human hand'
59,b'Mammal'
60,b'Toy'
61,b'Clothing'
62,b'Tripod'
63,b'Lantern'
64,b'Human hair'
65,b'Human arm'
66,b'Fashion accessory'
67,b'Drink'
68,b'Human body'
69,b'Lamp'
70,b'Human face'
71,b'Table'
72,b'Clothing'
73,b'Coat'
74,b'Drink'
75,b'Dress'
76,b'Human arm'
77,b'Human arm'
78,b'Chair'
79,b'Snowman'
80,b'Balloon'
81,b'Furniture'
82,b'Human hair'
83,b'Light bulb'
84,b'Mammal'
85,b'Human arm'
86,b'Fashion accessory'
87,b'Lamp'
88,b'Lantern'
89,b'Fashion accessory'
90,b'Window'
91,b'Human face'
92,b'Human hand'
93,b'Human arm'
94,b'Lantern'
95,b'Sculpture'
96,b'Fashion accessory'
97,b'Footwear'
98,b'Lamp'
99,b'Lamp'
