,a
0,0.8900857
1,0.50035673
2,0.49686715
3,0.4183725
4,0.37066153
5,0.30869338
6,0.21550718
7,0.18573202
8,0.18059914
9,0.17291248
10,0.17021565
11,0.15405105
12,0.15182467
13,0.1441454
14,0.1422714
15,0.14140502
16,0.11839427
17,0.11158489
18,0.09988905
19,0.08831936
20,0.086467594
21,0.081276216
22,0.07405282
23,0.07127766
24,0.069384314
25,0.068384975
26,0.06779221
27,0.06561611
28,0.057319783
29,0.050406273
30,0.049532413
31,0.049436484
32,0.04007632
33,0.036632136
34,0.035703
35,0.034998927
36,0.03324999
37,0.032975785
38,0.030043967
39,0.02867298
40,0.027179753
41,0.025778497
42,0.025698883
43,0.022984723
44,0.020702071
45,0.020533497
46,0.020198608
47,0.019759884
48,0.019749483
49,0.019207835
50,0.01900491
51,0.018674772
52,0.017646657
53,0.017359778
54,0.016412279
55,0.016293244
56,0.016268512
57,0.015887424
58,0.01556811
59,0.01552584
60,0.015502287
61,0.015209383
62,0.015197121
63,0.015134276
64,0.014718334
65,0.01467213
66,0.014600325
67,0.0143032605
68,0.014215422
69,0.013805698
70,0.013636208
71,0.013537422
72,0.013461782
73,0.013270725
74,0.013195816
75,0.012953243
76,0.012863651
77,0.012593116
78,0.012550463
79,0.012511588
80,0.012452855
81,0.012384258
82,0.012180245
83,0.011890163
84,0.011730107
85,0.010883133
86,0.010250028
87,0.010213921
88,0.010121154
89,0.01006505
90,0.009957654
91,0.009700795
92,0.009382113
93,0.009358911
94,0.008548233
95,0.008339685
96,0.008197627
97,0.008167895
98,0.007800138
99,0.007729369
