,a
0,b'Clothing'
1,b'Clothing'
2,b'Human hand'
3,b'Person'
4,b'Carnivore'
5,b'Animal'
6,b'Clothing'
7,b'Person'
8,b'Tool'
9,b'Dog'
10,b'Mammal'
11,b'Clothing'
12,b'Person'
13,b'Clothing'
14,b'Sculpture'
15,b'Clothing'
16,b'Man'
17,b'Person'
18,b'Clothing'
19,b'Clothing'
20,b'Toy'
21,b'Person'
22,b'Clothing'
23,b'Clothing'
24,b'Human hand'
25,b'Man'
26,b'Man'
27,b'Man'
28,b'Human arm'
29,b'Human hand'
30,b'Mammal'
31,b'Human arm'
32,b'Person'
33,b'Human arm'
34,b'Human arm'
35,b'Human arm'
36,b'Man'
37,b'Carnivore'
38,b'Horse'
39,b'Auto part'
40,b'Human arm'
41,b'Human hand'
42,b'Human arm'
43,b'Person'
44,b'Tool'
45,b'Human arm'
46,b'Person'
47,b'Cattle'
48,b'Human arm'
49,b'Human body'
50,b'Ratchet'
51,b'Man'
52,b'Man'
53,b'Human arm'
54,b'Suit'
55,b'Dinosaur'
56,b'Bear'
57,b'Human arm'
58,b'Human arm'
59,b'Person'
60,b'Person'
61,b'Human body'
62,b'Human hand'
63,b'Person'
64,b'Medical equipment'
65,b'Clothing'
66,b'Boy'
67,b'Mammal'
68,b'Human hand'
69,b'Human arm'
70,b'Human arm'
71,b'Human hand'
72,b'Person'
73,b'Human body'
74,b'Human hand'
75,b'Human arm'
76,b'Rhinoceros'
77,b'Clothing'
78,b'Human hand'
79,b'Handgun'
80,b'Person'
81,b'Woman'
82,b'Woman'
83,b'Human hand'
84,b'Human hand'
85,b'Human body'
86,b'Bull'
87,b'Girl'
88,b'Human arm'
89,b'Human hand'
90,b'Human body'
91,b'Human arm'
92,b'Bronze sculpture'
93,b'Woman'
94,b'Human arm'
95,b'Human arm'
96,b'Human hand'
97,b'Mammal'
98,b'Woman'
99,b'Tree'
