,a
0,b'Rabbit'
1,b'Person'
2,b'Handgun'
3,b'Person'
4,b'Human face'
5,b'Dog'
6,b'Human hand'
7,b'Clothing'
8,b'Clothing'
9,b'Person'
10,b'Clothing'
11,b'Clothing'
12,b'Person'
13,b'Clothing'
14,b'Human face'
15,b'Human hand'
16,b'Carnivore'
17,b'Person'
18,b'Toy'
19,b'Animal'
20,b'Clothing'
21,b'Human arm'
22,b'Dog'
23,b'Human face'
24,b'Mammal'
25,b'Clothing'
26,b'Clothing'
27,b'Human hand'
28,b'Animal'
29,b'Mammal'
30,b'Human hand'
31,b'Toy'
32,b'Toy'
33,b'Human arm'
34,b'Human arm'
35,b'Human hand'
36,b'Human leg'
37,b'Carnivore'
38,b'Person'
39,b'Human arm'
40,b'Human hand'
41,b'Cat'
42,b'Horse'
43,b'Clothing'
44,b'Rabbit'
45,b'Human arm'
46,b'Human leg'
47,b'Human arm'
48,b'Cat'
49,b'Mammal'
50,b'Clothing'
51,b'Person'
52,b'Human hand'
53,b'Clothing'
54,b'Human face'
55,b'Toy'
56,b'Toy'
57,b'Clothing'
58,b'Human leg'
59,b'Human arm'
60,b'Man'
61,b'Person'
62,b'Mammal'
63,b'Person'
64,b'Animal'
65,b'Human leg'
66,b'Handgun'
67,b'Weapon'
68,b'Human hand'
69,b'Clothing'
70,b'Human hand'
71,b'Clothing'
72,b'Human hand'
73,b'Cattle'
74,b'Human hand'
75,b'Animal'
76,b'Girl'
77,b'Person'
78,b'Person'
79,b'Human hand'
80,b'Person'
81,b'Human head'
82,b'Handgun'
83,b'Toy'
84,b'Human hand'
85,b'Glove'
86,b'Animal'
87,b'Woman'
88,b'Human arm'
89,b'Human arm'
90,b'Human leg'
91,b'Human hand'
92,b'Clothing'
93,b'Human arm'
94,b'Footwear'
95,b'Animal'
96,b'Person'
97,b'Human hand'
98,b'Man'
99,b'Human body'
