,a
0,0.88052374
1,0.7573888
2,0.5708813
3,0.51946235
4,0.43311673
5,0.4267801
6,0.41275635
7,0.28108314
8,0.22958794
9,0.2235901
10,0.22327459
11,0.18518446
12,0.17121905
13,0.166398
14,0.14713459
15,0.13314089
16,0.12965953
17,0.12833191
18,0.12404361
19,0.1189455
20,0.11375823
21,0.11293324
22,0.10828747
23,0.08580256
24,0.08263814
25,0.08040265
26,0.07659447
27,0.07400107
28,0.07137187
29,0.068424664
30,0.0671135
31,0.0657227
32,0.05963114
33,0.05912086
34,0.053983916
35,0.04713112
36,0.045081094
37,0.04493205
38,0.043057706
39,0.042442463
40,0.04028972
41,0.03975672
42,0.039716933
43,0.038404036
44,0.034835804
45,0.033903927
46,0.03240169
47,0.030981928
48,0.030167438
49,0.030003062
50,0.028297948
51,0.027978798
52,0.025579793
53,0.02552007
54,0.025334662
55,0.024821002
56,0.02461507
57,0.024237966
58,0.023964649
59,0.023923216
60,0.02381967
61,0.023525095
62,0.023116088
63,0.02296651
64,0.022198278
65,0.021544762
66,0.021498736
67,0.021044124
68,0.019141573
69,0.018398244
70,0.018370472
71,0.017121337
72,0.016697137
73,0.016531086
74,0.016307764
75,0.015999286
76,0.015893476
77,0.015794806
78,0.015693717
79,0.015386604
80,0.015239171
81,0.014898713
82,0.014883298
83,0.013744224
84,0.0135811735
85,0.013243396
86,0.013240546
87,0.013158849
88,0.0131289335
89,0.013086355
90,0.012630466
91,0.0126111135
92,0.0125726415
93,0.011516242
94,0.011446905
95,0.011427482
96,0.011418871
97,0.010551886
98,0.009914564
99,0.009623876
