,a
0,b'Human face'
1,b'Woman'
2,b'Clothing'
3,b'Person'
4,b'Clothing'
5,b'Human hair'
6,b'Human head'
7,b'Human mouth'
8,b'Human eye'
9,b'Human eye'
10,b'Human hair'
11,b'Human ear'
12,b'Human nose'
13,b'Woman'
14,b'Furniture'
15,b'Man'
16,b'Human hair'
17,b'Girl'
18,b'Woman'
19,b'Box'
20,b'Bottle'
21,b'Human hair'
22,b'Woman'
23,b'Person'
24,b'Bottle'
25,b'Woman'
26,b'Woman'
27,b'Chair'
28,b'Clothing'
29,b'Clothing'
30,b'Human hair'
31,b'Clothing'
32,b'Clothing'
33,b'Human hand'
34,b'Human body'
35,b'Human hair'
36,b'Man'
37,b'Drink'
38,b'Office supplies'
39,b'Dress'
40,b'Mammal'
41,b'Girl'
42,b'Human hair'
43,b'Drink'
44,b'Human hair'
45,b'Clothing'
46,b'Person'
47,b'Furniture'
48,b'Human arm'
49,b'Person'
50,b'Furniture'
51,b'Human body'
52,b'Lipstick'
53,b'Girl'
54,b'Girl'
55,b'Suit'
56,b'Person'
57,b'Girl'
58,b'Furniture'
59,b'Poster'
60,b'Woman'
61,b'Furniture'
62,b'Office supplies'
63,b'Human head'
64,b'Mammal'
65,b'Human head'
66,b'Human body'
67,b'Human arm'
68,b'Picture frame'
69,b'Person'
70,b'Office supplies'
71,b'Human arm'
72,b'Person'
73,b'Dog bed'
74,b'Human head'
75,b'Clothing'
76,b'Man'
77,b'Jacket'
78,b'Fashion accessory'
79,b'Clothing'
80,b'Food'
81,b'Human arm'
82,b'Boy'
83,b'Human hand'
84,b'Clothing'
85,b'Chair'
86,b'Person'
87,b'Whiteboard'
88,b'Human hair'
89,b'Person'
90,b'Clothing'
91,b'Furniture'
92,b'Human head'
93,b'Human head'
94,b'Mobile phone'
95,b'Human face'
96,b'Human arm'
97,b'Toy'
98,b'Table'
99,b'Towel'
