,a
0,b'Poster'
1,b'Ball'
2,b'Fruit'
3,b'Waffle'
4,b'Poster'
5,b'Book'
6,b'Sports equipment'
7,b'Poster'
8,b'Dice'
9,b'Poster'
10,b'Billboard'
11,b'Snack'
12,b'Food'
13,b'Wheel'
14,b'Car'
15,b'Footwear'
16,b'Wheel'
17,b'Land vehicle'
18,b'Vehicle'
19,b'Baked goods'
20,b'Dessert'
21,b'Apple'
22,b'Land vehicle'
23,b'Land vehicle'
24,b'Footwear'
25,b'Clothing'
26,b'Toy'
27,b'Person'
28,b'Vehicle'
29,b'Tire'
30,b'Person'
31,b'Car'
32,b'Person'
33,b'Footwear'
34,b'Rose'
35,b'Dairy'
36,b'Person'
37,b'Snack'
38,b'Car'
39,b'Toy'
40,b'Building'
41,b'Human hand'
42,b'Car'
43,b'Flower'
44,b'Auto part'
45,b'Sports equipment'
46,b'Person'
47,b'Door'
48,b'Toy'
49,b'Window'
50,b'Computer keyboard'
51,b'Table'
52,b'Flag'
53,b'Golf ball'
54,b'Plant'
55,b'Flag'
56,b'Plant'
57,b'Auto part'
58,b'Lantern'
59,b'Glove'
60,b'Fashion accessory'
61,b'Pumpkin'
62,b'Flowerpot'
63,b'Office supplies'
64,b'Tableware'
65,b'Vegetable'
66,b'Bowling equipment'
67,b'Traffic sign'
68,b'Human arm'
69,b'Sports equipment'
70,b'Chair'
71,b'Clothing'
72,b'Plant'
73,b'Computer keyboard'
74,b'Vehicle'
75,b'Mammal'
76,b'Wheel'
77,b'Computer keyboard'
78,b'Clothing'
79,b'Car'
80,b'Food'
81,b'Person'
82,b'Snack'
83,b'Television'
84,b'Plant'
85,b'Auto part'
86,b'Human head'
87,b'Cantaloupe'
88,b'Fish'
89,b'Candy'
90,b'Poster'
91,b'Clothing'
92,b'Fashion accessory'
93,b'Drink'
94,b'Clothing'
95,b'Person'
96,b'Waffle iron'
97,b'Door'
98,b'Waffle iron'
99,b'Plant'
