,a
0,0.67165726
1,0.6663235
2,0.6424568
3,0.40800953
4,0.2276511
5,0.19689102
6,0.19283646
7,0.18628249
8,0.16353872
9,0.1552592
10,0.10097932
11,0.09010773
12,0.08564266
13,0.077396214
14,0.07635317
15,0.07234324
16,0.06831132
17,0.05777989
18,0.04523005
19,0.043132845
20,0.040217247
21,0.035404682
22,0.030801423
23,0.021346627
24,0.018904662
25,0.015163848
26,0.014740838
27,0.014532007
28,0.014123325
29,0.012679901
30,0.012671765
31,0.012541932
32,0.0122203035
33,0.012010381
34,0.011423411
35,0.011137543
36,0.010920652
37,0.010664427
38,0.010421021
39,0.010127797
40,0.010127412
41,0.009104785
42,0.008980333
43,0.00867194
44,0.008028966
45,0.007819431
46,0.007818999
47,0.0074922414
48,0.0073847305
49,0.007356326
50,0.0072436393
51,0.0067669675
52,0.006114146
53,0.005547863
54,0.005428757
55,0.0053467443
56,0.0052547697
57,0.0050835717
58,0.005008262
59,0.004910755
60,0.004901311
61,0.0048505706
62,0.0047372603
63,0.0046437085
64,0.0045609297
65,0.0045509716
66,0.004522524
67,0.004400607
68,0.004299902
69,0.004085954
70,0.0040044603
71,0.0039518597
72,0.0039425152
73,0.0037382203
74,0.0036139807
75,0.0036102955
76,0.0034560496
77,0.0034552168
78,0.003426977
79,0.003383818
80,0.0033537468
81,0.003340504
82,0.0032774045
83,0.0032213125
84,0.003140006
85,0.003106238
86,0.0030937681
87,0.0030370287
88,0.0030023255
89,0.0028435949
90,0.0028022365
91,0.0027107596
92,0.002627394
93,0.002620681
94,0.002615054
95,0.0025737053
96,0.002562046
97,0.002552606
98,0.002530715
99,0.002478813
