,a
0,b'Stairs'
1,b'Stairs'
2,b'Furniture'
3,b'Stairs'
4,b'Table'
5,b'Musical instrument'
6,b'Book'
7,b'Shelf'
8,b'Building'
9,b'Office supplies'
10,b'Furniture'
11,b'Human hand'
12,b'Stairs'
13,b'Table'
14,b'Stairs'
15,b'Stairs'
16,b'Wine rack'
17,b'Piano'
18,b'Table'
19,b'Stairs'
20,b'Sports equipment'
21,b'Person'
22,b'Shelf'
23,b'Building'
24,b'Human hand'
25,b'Skateboard'
26,b'Musical keyboard'
27,b'House'
28,b'House'
29,b'Human hand'
30,b'Furniture'
31,b'Furniture'
32,b'Table'
33,b'Door'
34,b'Human hand'
35,b'Desk'
36,b'Organ'
37,b'Human hand'
38,b'Cutting board'
39,b'Food'
40,b'House'
41,b'Stairs'
42,b'Stairs'
43,b'Furniture'
44,b'Building'
45,b'Mammal'
46,b'Sculpture'
47,b'Picture frame'
48,b'Guitar'
49,b'Door handle'
50,b'Stairs'
51,b'Human hand'
52,b'Human arm'
53,b'Ladder'
54,b'Human hand'
55,b'Curtain'
56,b'Furniture'
57,b'Toy'
58,b'Baked goods'
59,b'Countertop'
60,b'Poster'
61,b'Human body'
62,b'Harpsichord'
63,b'Lamp'
64,b'Table'
65,b'Auto part'
66,b'Table'
67,b'Building'
68,b'Hot dog'
69,b'Furniture'
70,b'Candle'
71,b'House'
72,b'Stairs'
73,b'Countertop'
74,b'Chopsticks'
75,b'Shelf'
76,b'Snake'
77,b'Chair'
78,b'Book'
79,b'Dessert'
80,b'Girl'
81,b'Drawer'
82,b'Book'
83,b'Footwear'
84,b'Cabinetry'
85,b'Spice rack'
86,b'Shelf'
87,b'Toothbrush'
88,b'Guitar'
89,b'Human leg'
90,b'Clothing'
91,b'Office supplies'
92,b'Stairs'
93,b'Cat furniture'
94,b'Bird'
95,b'Musical keyboard'
96,b'Poster'
97,b'Person'
98,b'Window blind'
99,b'Box'
