,a
0,b'Food'
1,b'Person'
2,b'Human hand'
3,b'Tableware'
4,b'Human hand'
5,b'Food'
6,b'Dairy'
7,b'Person'
8,b'Drink'
9,b'Tableware'
10,b'Glasses'
11,b'Drink'
12,b'Cocktail'
13,b'Dessert'
14,b'Person'
15,b'Fashion accessory'
16,b'Tableware'
17,b'Sunglasses'
18,b'Ice cream'
19,b'Wine glass'
20,b'Person'
21,b'Dairy'
22,b'Dairy'
23,b'Food'
24,b'Glasses'
25,b'Ice cream'
26,b'Human hand'
27,b'Human hand'
28,b'Ice cream'
29,b'Food'
30,b'Goggles'
31,b'Drink'
32,b'Cheese'
33,b'Glasses'
34,b'Human hand'
35,b'Food'
36,b'Headphones'
37,b'Food'
38,b'Food'
39,b'Dessert'
40,b'Baked goods'
41,b'Ice cream'
42,b'Dessert'
43,b'Human hand'
44,b'Human hand'
45,b'Man'
46,b'Human arm'
47,b'Dessert'
48,b'Food'
49,b'Snack'
50,b'Dessert'
51,b'Clothing'
52,b'Human face'
53,b'Human hand'
54,b'Fashion accessory'
55,b'Footwear'
56,b'Mammal'
57,b'Human arm'
58,b'Wine'
59,b'Food'
60,b'Kitchen utensil'
61,b'Clothing'
62,b'Human arm'
63,b'Human hand'
64,b'Whisk'
65,b'Human arm'
66,b'Food'
67,b'Wine'
68,b'Ice cream'
69,b'Person'
70,b'Goggles'
71,b'Fast food'
72,b'Mammal'
73,b'Food'
74,b'Human face'
75,b'Food'
76,b'Medical equipment'
77,b'Fashion accessory'
78,b'Fashion accessory'
79,b'Dessert'
80,b'Spoon'
81,b'Food'
82,b'Spoon'
83,b'Man'
84,b'Coffee'
85,b'Dairy'
86,b'Snack'
87,b'Human arm'
88,b'Drink'
89,b'Person'
90,b'Dessert'
91,b'Tableware'
92,b'Baked goods'
93,b'Sunglasses'
94,b'Man'
95,b'Cocktail'
96,b'Food'
97,b'Drinking straw'
98,b'Sunglasses'
99,b'Medical equipment'
