,a
0,b'Human face'
1,b'Woman'
2,b'Clothing'
3,b'Person'
4,b'Human ear'
5,b'Furniture'
6,b'Human mouth'
7,b'Human nose'
8,b'Human eye'
9,b'Man'
10,b'Human hair'
11,b'Table'
12,b'Girl'
13,b'Human head'
14,b'Furniture'
15,b'Perfume'
16,b'Shelf'
17,b'Human arm'
18,b'Desk'
19,b'Human hand'
20,b'Bathroom accessory'
21,b'Human hair'
22,b'Bottle'
23,b'Building'
24,b'Man'
25,b'Chair'
26,b'Tap'
27,b'Human hand'
28,b'Human body'
29,b'Clothing'
30,b'Clothing'
31,b'Furniture'
32,b'Plumbing fixture'
33,b'Shelf'
34,b'Person'
35,b'Human body'
36,b'Mammal'
37,b'Fashion accessory'
38,b'Lipstick'
39,b'Table'
40,b'Office supplies'
41,b'Table'
42,b'Human mouth'
43,b'Human arm'
44,b'Clothing'
45,b'Shelf'
46,b'Table'
47,b'Furniture'
48,b'Desk'
49,b'Furniture'
50,b'Human arm'
51,b'Clothing'
52,b'Kitchen appliance'
53,b'Furniture'
54,b'Boy'
55,b'Cabinetry'
56,b'Cosmetics'
57,b'Kitchen appliance'
58,b'Table'
59,b'Chair'
60,b'Tableware'
61,b'Human arm'
62,b'House'
63,b'Shelf'
64,b'Furniture'
65,b'Person'
66,b'Human head'
67,b'Furniture'
68,b'Human arm'
69,b'Human arm'
70,b'Chair'
71,b'Table'
72,b'Glasses'
73,b'Kitchen appliance'
74,b'Fashion accessory'
75,b'Table'
76,b'Home appliance'
77,b'Window'
78,b'Fashion accessory'
79,b'Human mouth'
80,b'Human hand'
81,b'Human hand'
82,b'Personal care'
83,b'Furniture'
84,b'Table'
85,b'Countertop'
86,b'Clothing'
87,b'Human face'
88,b'Furniture'
89,b'Chair'
90,b'Office building'
91,b'Furniture'
92,b'Drink'
93,b'Human hair'
94,b'Woman'
95,b'Human mouth'
96,b'Cabinetry'
97,b'Human hand'
98,b'Man'
99,b'Desk'
