,a
0,b'Person'
1,b'Auto part'
2,b'Clothing'
3,b'Clothing'
4,b'Person'
5,b'Lamp'
6,b'Furniture'
7,b'Human arm'
8,b'Vehicle'
9,b'Wheel'
10,b'Car'
11,b'Auto part'
12,b'Person'
13,b'Human hair'
14,b'Land vehicle'
15,b'Mammal'
16,b'Table'
17,b'Lamp'
18,b'Headphones'
19,b'Human leg'
20,b'Human arm'
21,b'Mammal'
22,b'Chair'
23,b'Human body'
24,b'Woman'
25,b'Human head'
26,b'Fashion accessory'
27,b'Toy'
28,b'Clothing'
29,b'Guitar'
30,b'Musical instrument'
31,b'Man'
32,b'Girl'
33,b'Dog'
34,b'Human arm'
35,b'Nail'
36,b'Mammal'
37,b'Medical equipment'
38,b'Human arm'
39,b'Human hair'
40,b'Animal'
41,b'Carnivore'
42,b'Human arm'
43,b'Helmet'
44,b'Sports equipment'
45,b'Human hair'
46,b'Person'
47,b'Lantern'
48,b'Airplane'
49,b'Woman'
50,b'Clothing'
51,b'Drink'
52,b'Office supplies'
53,b'Poster'
54,b'Woman'
55,b'Light bulb'
56,b'Dog'
57,b'Sculpture'
58,b'Man'
59,b'Chair'
60,b'Mammal'
61,b'Boat'
62,b'Human leg'
63,b'Human hand'
64,b'Dog bed'
65,b'Skull'
66,b'Aircraft'
67,b'Human hand'
68,b'Land vehicle'
69,b'Watercraft'
70,b'Weapon'
71,b'Wheel'
72,b'Girl'
73,b'Ball'
74,b'Girl'
75,b'Person'
76,b'Human body'
77,b'Nail'
78,b'Tree'
79,b'Skateboard'
80,b'Footwear'
81,b'Furniture'
82,b'Window'
83,b'Tire'
84,b'Human head'
85,b'Vehicle'
86,b'Fashion accessory'
87,b'Drum'
88,b'Human body'
89,b'Plant'
90,b'Human body'
91,b'Human hair'
92,b'Light bulb'
93,b'Footwear'
94,b'Seat belt'
95,b'Human head'
96,b'Bottle'
97,b'Sports equipment'
98,b'Baked goods'
99,b'Car'
