,a
0,0.86355317
1,0.542695
2,0.32575977
3,0.0807338
4,0.07869425
5,0.07784814
6,0.06900147
7,0.032920234
8,0.029803967
9,0.023252944
10,0.022285877
11,0.019186953
12,0.018617775
13,0.013394315
14,0.012271403
15,0.011423264
16,0.011333276
17,0.01121742
18,0.01033773
19,0.0072512473
20,0.0066720867
21,0.0065094144
22,0.006268868
23,0.00612856
24,0.0052795955
25,0.0048299865
26,0.004602763
27,0.0044137947
28,0.004308567
29,0.0040298486
30,0.004026001
31,0.003873378
32,0.0038583844
33,0.003804333
34,0.0033127526
35,0.0028442796
36,0.0027050145
37,0.0025613385
38,0.002491298
39,0.0024894779
40,0.0024489937
41,0.0022206358
42,0.0021618542
43,0.0021081527
44,0.0021009883
45,0.0019504222
46,0.0019022132
47,0.0017244574
48,0.0017053949
49,0.0015263
50,0.0014797037
51,0.001448373
52,0.001384947
53,0.0012892418
54,0.00124637
55,0.0012350909
56,0.0012186798
57,0.0011796645
58,0.0011787582
59,0.0010967035
60,0.0010659427
61,0.0010607752
62,0.0010363283
63,0.0009918091
64,0.0009893901
65,0.0009861123
66,0.0009709222
67,0.0009651633
68,0.00094774197
69,0.0009095113
70,0.0008969068
71,0.0008803043
72,0.0008723505
73,0.00086402
74,0.0008415181
75,0.00081764976
76,0.00077408366
77,0.0007525429
78,0.00074070174
79,0.00073049514
80,0.0007245396
81,0.00072440866
82,0.00069382356
83,0.00067781616
84,0.0006576541
85,0.00065367646
86,0.00064290717
87,0.0006382336
88,0.00063071423
89,0.0006064576
90,0.0005989213
91,0.00059809303
92,0.0005639178
93,0.00055647374
94,0.0005501331
95,0.0005433964
96,0.000535696
97,0.00053211936
98,0.0005280419
99,0.00052521145
