,a
0,b'Clothing'
1,b'Person'
2,b'Human face'
3,b'Human face'
4,b'Person'
5,b'Person'
6,b'Clothing'
7,b'Clothing'
8,b'Clothing'
9,b'Human hand'
10,b'Clothing'
11,b'Man'
12,b'Person'
13,b'Human hair'
14,b'Person'
15,b'Person'
16,b'Footwear'
17,b'Clothing'
18,b'Woman'
19,b'Clothing'
20,b'Man'
21,b'Mammal'
22,b'Clothing'
23,b'Human face'
24,b'Clothing'
25,b'Clothing'
26,b'Clothing'
27,b'Person'
28,b'Human hand'
29,b'Clothing'
30,b'Human face'
31,b'Human hand'
32,b'Man'
33,b'Human head'
34,b'Clothing'
35,b'Human hand'
36,b'Clothing'
37,b'Human face'
38,b'Person'
39,b'Person'
40,b'Man'
41,b'Human hand'
42,b'Girl'
43,b'Human arm'
44,b'Human hand'
45,b'Human hair'
46,b'Human head'
47,b'Person'
48,b'Clothing'
49,b'Man'
50,b'Person'
51,b'Human hand'
52,b'Human hand'
53,b'Human body'
54,b'Human face'
55,b'Human eye'
56,b'Human arm'
57,b'Person'
58,b'Human body'
59,b'Person'
60,b'Clothing'
61,b'Human leg'
62,b'Clothing'
63,b'Man'
64,b'Human hand'
65,b'Human face'
66,b'Footwear'
67,b'Mammal'
68,b'Woman'
69,b'Human face'
70,b'Human hand'
71,b'Clothing'
72,b'Human face'
73,b'Mammal'
74,b'Human hand'
75,b'Human face'
76,b'Clothing'
77,b'Mammal'
78,b'Human hand'
79,b'Man'
80,b'Woman'
81,b'Boy'
82,b'Clothing'
83,b'Man'
84,b'Mammal'
85,b'Human arm'
86,b'Sculpture'
87,b'Human ear'
88,b'Man'
89,b'Human leg'
90,b'Human face'
91,b'Clothing'
92,b'Human hand'
93,b'Human hair'
94,b'Human hand'
95,b'Human leg'
96,b'Person'
97,b'Animal'
98,b'Human nose'
99,b'Human arm'
