,a
0,b'Person'
1,b'Human face'
2,b'Person'
3,b'Clothing'
4,b'Person'
5,b'Human hand'
6,b'Clothing'
7,b'Human hand'
8,b'Balloon'
9,b'Clothing'
10,b'Person'
11,b'Clothing'
12,b'Balloon'
13,b'Toy'
14,b'Girl'
15,b'Person'
16,b'Woman'
17,b'Human head'
18,b'Tomato'
19,b'Person'
20,b'Human hair'
21,b'Human arm'
22,b'Human arm'
23,b'Woman'
24,b'Clothing'
25,b'Person'
26,b'Toy'
27,b'Book'
28,b'Clothing'
29,b'Girl'
30,b'Toy'
31,b'Clothing'
32,b'Food'
33,b'Apple'
34,b'Fruit'
35,b'Man'
36,b'Human face'
37,b'Woman'
38,b'Toy'
39,b'Human hand'
40,b'Person'
41,b'Human arm'
42,b'Dress'
43,b'Human arm'
44,b'Doll'
45,b'Clothing'
46,b'Girl'
47,b'Human arm'
48,b'Toy'
49,b'Human hair'
50,b'Tomato'
51,b'Food'
52,b'Human arm'
53,b'Fashion accessory'
54,b'Furniture'
55,b'Human arm'
56,b'Toy'
57,b'Clothing'
58,b'Toy'
59,b'Man'
60,b'Human hand'
61,b'Human arm'
62,b'Human body'
63,b'Human arm'
64,b'Dress'
65,b'Fruit'
66,b'Human arm'
67,b'Human hand'
68,b'Ball'
69,b'Human arm'
70,b'Human hand'
71,b'Mammal'
72,b'Woman'
73,b'Human face'
74,b'Tomato'
75,b'Toy'
76,b'Food'
77,b'Human arm'
78,b'Clothing'
79,b'Snack'
80,b'Toy'
81,b'Book'
82,b'Human hand'
83,b'Vegetable'
84,b'Mammal'
85,b'Candy'
86,b'Human arm'
87,b'Human hand'
88,b'Human hand'
89,b'Table'
90,b'Man'
91,b'Person'
92,b'Food'
93,b'Person'
94,b'Human ear'
95,b'Person'
96,b'Bowling equipment'
97,b'Clothing'
98,b'Human hand'
99,b'Clothing'
