,a
0,b'Woman'
1,b'Human face'
2,b'Footwear'
3,b'House'
4,b'Shelf'
5,b'Jeans'
6,b'Trousers'
7,b'Clothing'
8,b'Furniture'
9,b'Building'
10,b'Shelf'
11,b'Human leg'
12,b'Cupboard'
13,b'Person'
14,b'Shelf'
15,b'Girl'
16,b'Shelf'
17,b'Wardrobe'
18,b'Bed'
19,b'Clothing'
20,b'Shelf'
21,b'Footwear'
22,b'Furniture'
23,b'Shelf'
24,b'Footwear'
25,b'Human hair'
26,b'Shelf'
27,b'Footwear'
28,b'Cabinetry'
29,b'Cabinetry'
30,b'Window'
31,b'Shelf'
32,b'Footwear'
33,b'Footwear'
34,b'Human arm'
35,b'Shelf'
36,b'Shelf'
37,b'Clothing'
38,b'Shelf'
39,b'Human head'
40,b'Cupboard'
41,b'Furniture'
42,b'Footwear'
43,b'Shelf'
44,b'Human hair'
45,b'Cupboard'
46,b'Bookcase'
47,b'Footwear'
48,b'Closet'
49,b'Wardrobe'
50,b'Cabinetry'
51,b'Cabinetry'
52,b'Furniture'
53,b'Man'
54,b'Shelf'
55,b'Bookcase'
56,b'Medical equipment'
57,b'House'
58,b'Kitchen appliance'
59,b'Sofa bed'
60,b'Human body'
61,b'Shelf'
62,b'Human arm'
63,b'Toy'
64,b'Shelf'
65,b'Cabinetry'
66,b'Shelf'
67,b'Person'
68,b'Shelf'
69,b'Cabinetry'
70,b'Couch'
71,b'Porch'
72,b'Cabinetry'
73,b'Closet'
74,b'House'
75,b'Bookcase'
76,b'Human arm'
77,b'Drink'
78,b'Furniture'
79,b'Human hair'
80,b'Footwear'
81,b'Dress'
82,b'Cabinetry'
83,b'Shelf'
84,b'Porch'
85,b'Building'
86,b'Suit'
87,b'Cabinetry'
88,b'Door handle'
89,b'Building'
90,b'Footwear'
91,b'House'
92,b'Furniture'
93,b'Office building'
94,b'Cabinetry'
95,b'Human arm'
96,b'Cabinetry'
97,b'Human face'
98,b'Footwear'
99,b'Window'
