,a,b,c,d
0,0.24753103,0.36901245,0.85108495,0.6607722
1,0.16022858,0.28331596,0.98152673,0.9902546
2,0.7111846,0.39549297,0.9926033,0.9937883
3,0.17167011,0.2445127,0.99153566,0.97150624
4,0.39253515,0.6478582,0.556664,0.718677
5,0.38771677,0.10103754,0.68538594,0.385625
6,0.6482105,0.41683134,0.74097836,0.5077144
7,0.4689048,0.3627855,0.61656916,0.45083144
8,0.41399482,0.42654163,0.4923798,0.4960724
9,0.17185453,0.24908333,0.99304473,0.9520227
10,0.17015155,0.4595495,0.825345,0.96241415
11,0.8497227,0.017841492,0.9934246,0.41355821
12,0.14781317,0.2594655,0.97914165,0.9941097
13,0.15756519,0.36473715,0.8019043,0.80266106
14,0.8660883,0.01817871,0.99378586,0.4088729
15,0.72503597,0.3995709,0.8198257,0.43080023
16,0.47659266,0.0010786867,0.65206975,0.117238484
17,0.8733077,0.31413943,1.0,0.5846096
18,0.8604643,0.010194111,0.98904055,0.4246948
19,0.9037773,0.35393324,1.0,0.5238476
20,0.70944434,0.3441336,0.83968025,0.3711489
21,0.14902575,0.37428465,0.696869,0.83116466
22,0.7308503,0.39749718,0.83014035,0.42767897
23,0.10544113,0.012385445,1.0,0.5836557
24,0.12340004,0.14809206,0.94303226,0.7574647
25,0.97050804,0.00025515078,0.99955976,0.08355966
26,0.7087964,0.34545884,0.8257838,0.372454
27,0.87832695,0.31543213,0.9950426,0.4682901
28,0.53266144,0.25944626,0.99046814,0.9579704
29,0.6123555,0.2708006,0.99975485,0.98520005
30,0.88019085,0.29002702,0.9952244,0.3977871
31,0.25429422,0.053147238,0.8984481,0.51096684
32,0.70791394,0.34506947,0.8278961,0.37013042
33,0.48388633,0.051631745,0.5840598,0.111158304
34,0.13353243,0.13287878,0.942676,0.76307285
35,0.16176698,0.2625719,1.0,0.9867561
36,0.16369833,0.27720395,0.97643524,1.0
37,0.39147034,0.64580977,0.5771876,0.72535294
38,0.647147,0.42154822,0.73763835,0.5061877
39,0.804517,0.021591987,0.998012,0.6861546
40,0.72519135,0.002770164,0.84566426,0.05121007
41,0.5749123,0.0093168635,0.9709275,0.57579786
42,0.6579929,0.43661773,0.73229927,0.5006538
43,0.78230906,0.32667464,0.9872849,0.9114301
44,0.8652932,0.036949825,0.99499637,0.37328848
45,0.42266938,0.09315715,0.70508915,0.3937737
46,0.97365093,0.0029320095,0.99850875,0.08691795
47,0.95916677,0.0039802645,0.99760836,0.103661805
48,0.83438313,0.0,1.0,0.5697301
49,0.9685499,0.0051142145,0.99956334,0.08490007
50,0.8744735,0.30013958,1.0,0.46710286
51,0.43365392,0.28437445,0.9900749,0.84714913
52,0.72315973,0.0016738843,0.8377861,0.0522481
53,0.17342393,0.036209393,0.9278557,0.35771865
54,0.15512733,0.22372124,1.0,0.80723065
55,0.3710402,0.077560596,0.70694727,0.42758277
56,0.73104656,0.3971431,0.8262188,0.42983672
57,0.35103953,0.09557458,0.6943841,0.3744776
58,0.83996797,0.005800867,0.9926993,0.26137963
59,0.9564694,0.0027557325,0.99730724,0.10616285
60,0.73366445,0.39595634,0.8306785,0.428031
61,0.7745144,0.30756333,0.9976758,0.69100195
62,0.06014964,0.0,1.0,0.4130584
63,0.48784772,0.046410132,0.649911,0.10493902
64,0.48176143,0.04459194,0.93327355,0.5675545
65,0.8744326,0.2946489,0.99717575,0.55630124
66,0.20659144,0.44544432,0.85452455,0.94541854
67,0.66417754,0.014329452,0.9738073,0.7248315
68,0.8784963,0.29163262,0.9990485,0.40020356
69,0.9081756,0.3396928,0.9980358,0.6303813
70,0.8578235,0.026152276,0.9967914,0.30980384
71,0.96052146,0.0004343891,0.99464726,0.10589218
72,0.40077445,0.6380968,0.58502024,0.726043
73,0.70777506,0.34502646,0.8315637,0.37159988
74,0.7384059,0.39726835,0.82307965,0.42821532
75,0.56962186,0.009111099,0.9626881,0.94737387
76,0.3800349,0.097363584,0.69833916,0.3829069
77,0.39392483,0.10809074,0.680106,0.39931628
78,0.43033123,0.646897,0.5911026,0.70659214
79,0.6414803,0.40734303,0.69732624,0.49886867
80,0.9630992,0.54156387,0.9963605,0.668325
81,0.8819856,0.29465315,0.9945641,0.39225066
82,0.738979,0.3967254,0.8290294,0.42783096
83,0.3519959,7.961273e-05,0.94133097,0.732466
84,0.43499497,0.0,0.9452785,0.7135321
85,0.6136394,0.030792713,0.983454,0.61686707
86,0.8748507,0.30087566,0.99410975,0.45846096
87,0.25230327,0.42815948,0.86629987,0.8070474
88,0.8232717,0.0,0.9920854,0.7415965
89,0.9776608,0.0027295875,0.998984,0.06831435
90,0.0,0.0,0.9988672,0.87995213
91,0.49059144,0.05323687,0.580966,0.106903225
92,0.7448341,0.3994154,0.82739025,0.42427042
93,0.18216741,0.34675565,0.9132274,0.868417
94,0.1628884,0.3440775,0.86406285,0.79880553
95,0.6394919,0.40028808,0.79315674,0.5215345
96,0.46749064,0.0,0.6443307,0.11724149
97,0.8803881,0.3230834,1.0,0.55406946
98,0.87301993,0.29974836,0.9953623,0.5002755
99,0.78742194,0.0,1.0,0.86662656
