,a
0,0.7888797
1,0.72655207
2,0.6883341
3,0.24217157
4,0.23074573
5,0.2302549
6,0.20763765
7,0.19652058
8,0.19402379
9,0.19333452
10,0.14509599
11,0.13985665
12,0.13684016
13,0.13678055
14,0.1330566
15,0.11864569
16,0.11746941
17,0.10892505
18,0.10655122
19,0.09318101
20,0.09094719
21,0.090593964
22,0.07689073
23,0.073770866
24,0.071373574
25,0.05504003
26,0.042527337
27,0.042010196
28,0.039288435
29,0.03901319
30,0.037718628
31,0.037007548
32,0.036924396
33,0.036661096
34,0.03554789
35,0.034607034
36,0.033782974
37,0.03337189
38,0.028230852
39,0.025607655
40,0.024153044
41,0.023670634
42,0.023392458
43,0.02216086
44,0.02111508
45,0.021072784
46,0.019856647
47,0.018601622
48,0.01846707
49,0.018415472
50,0.018361155
51,0.017564872
52,0.017524567
53,0.01729741
54,0.017267538
55,0.017168377
56,0.016835634
57,0.015993556
58,0.015939116
59,0.01590792
60,0.01581574
61,0.015797818
62,0.014340301
63,0.014144826
64,0.013563837
65,0.012636088
66,0.012490201
67,0.01231488
68,0.012122649
69,0.012014691
70,0.011576936
71,0.010969715
72,0.010960573
73,0.010828722
74,0.010733919
75,0.01071218
76,0.0105852885
77,0.010018995
78,0.009898361
79,0.009883501
80,0.009587327
81,0.009385863
82,0.009144586
83,0.009137843
84,0.009033826
85,0.008936134
86,0.008869675
87,0.008853025
88,0.008468081
89,0.008416539
90,0.00829558
91,0.008076905
92,0.007566698
93,0.007548115
94,0.007525498
95,0.0074552484
96,0.0072306055
97,0.0067786826
98,0.0067213373
99,0.0066709123
