,a
0,0.60925335
1,0.4715101
2,0.35039794
3,0.31563818
4,0.28865123
5,0.28391618
6,0.1602684
7,0.12837152
8,0.063956276
9,0.047606997
10,0.042899493
11,0.041600846
12,0.04081249
13,0.04070662
14,0.03936296
15,0.037915245
16,0.03701207
17,0.03683257
18,0.036561266
19,0.035016663
20,0.03479004
21,0.028928105
22,0.026677595
23,0.024328852
24,0.024323303
25,0.024014525
26,0.02381599
27,0.023128618
28,0.022204414
29,0.019338679
30,0.019296486
31,0.019027088
32,0.018714624
33,0.018144114
34,0.01807363
35,0.016077008
36,0.013433371
37,0.012153137
38,0.011999521
39,0.011933506
40,0.011856277
41,0.010344229
42,0.0097078085
43,0.009532763
44,0.009451705
45,0.009409472
46,0.009263337
47,0.009164904
48,0.008792063
49,0.008789354
50,0.008592722
51,0.008520533
52,0.008335697
53,0.008294473
54,0.008088906
55,0.008064426
56,0.008046688
57,0.008012214
58,0.007637727
59,0.007632821
60,0.006894686
61,0.0067348504
62,0.0065133343
63,0.006444775
64,0.0064276406
65,0.006318237
66,0.0062414855
67,0.0062253634
68,0.005843458
69,0.005753988
70,0.0049314685
71,0.004849079
72,0.004714514
73,0.0046227644
74,0.0045662154
75,0.004559904
76,0.004465079
77,0.004360527
78,0.004356867
79,0.0042946134
80,0.0042589693
81,0.0041496223
82,0.0040425276
83,0.003864965
84,0.0038441117
85,0.0038219874
86,0.0036456927
87,0.0036077178
88,0.0035338865
89,0.0034853816
90,0.0033169843
91,0.0032996142
92,0.0031093692
93,0.0031067238
94,0.003093095
95,0.0030293905
96,0.0029888877
97,0.0029595378
98,0.002934502
99,0.0028349392
