,a
0,b'Building'
1,b'Person'
2,b'Clothing'
3,b'Door'
4,b'House'
5,b'Shelf'
6,b'Furniture'
7,b'Door'
8,b'Woman'
9,b'Cupboard'
10,b'Wardrobe'
11,b'Shelf'
12,b'Bed'
13,b'Shelf'
14,b'Shelf'
15,b'Shelf'
16,b'Cupboard'
17,b'Footwear'
18,b'Furniture'
19,b'Cabinetry'
20,b'Wardrobe'
21,b'Cabinetry'
22,b'Cabinetry'
23,b'Shelf'
24,b'Furniture'
25,b'Cupboard'
26,b'Drawer'
27,b'Shelf'
28,b'Shelf'
29,b'Footwear'
30,b'Cabinetry'
31,b'House'
32,b'Shelf'
33,b'Footwear'
34,b'Shelf'
35,b'House'
36,b'Shelf'
37,b'Bookcase'
38,b'Furniture'
39,b'Furniture'
40,b'Human body'
41,b'Footwear'
42,b'Door'
43,b'Wardrobe'
44,b'Porch'
45,b'Medical equipment'
46,b'Window'
47,b'Footwear'
48,b'Shelf'
49,b'Furniture'
50,b'Building'
51,b'Shelf'
52,b'Footwear'
53,b'Man'
54,b'Toy'
55,b'Person'
56,b'Clothing'
57,b'Closet'
58,b'Shelf'
59,b'Cabinetry'
60,b'Building'
61,b'Footwear'
62,b'Shelf'
63,b'Shelf'
64,b'Shelf'
65,b'Bathroom accessory'
66,b'Shelf'
67,b'Cabinetry'
68,b'Trousers'
69,b'Footwear'
70,b'Cabinetry'
71,b'Human head'
72,b'Kitchen appliance'
73,b'Human leg'
74,b'Office building'
75,b'Furniture'
76,b'Table'
77,b'Shelf'
78,b'Sculpture'
79,b'Chest of drawers'
80,b'Table'
81,b'Furniture'
82,b'Dress'
83,b'Human hair'
84,b'Clothing'
85,b'Countertop'
86,b'Footwear'
87,b'Window'
88,b'Footwear'
89,b'Girl'
90,b'Human leg'
91,b'Shelf'
92,b'Nightstand'
93,b'Cabinetry'
94,b'Cabinetry'
95,b'Human face'
96,b'Table'
97,b'Shelf'
98,b'Cabinetry'
99,b'Footwear'
