,a
0,b'Human face'
1,b'Human mouth'
2,b'Person'
3,b'Human hand'
4,b'Human eye'
5,b'Woman'
6,b'Man'
7,b'Person'
8,b'Human nose'
9,b'Woman'
10,b'Human mouth'
11,b'Cosmetics'
12,b'Human hand'
13,b'Girl'
14,b'Human eye'
15,b'Human hand'
16,b'Human head'
17,b'Human hand'
18,b'Human hand'
19,b'Human hair'
20,b'Girl'
21,b'Person'
22,b'Man'
23,b'Boy'
24,b'Human arm'
25,b'Human hand'
26,b'Lipstick'
27,b'Clothing'
28,b'Person'
29,b'Clothing'
30,b'Human face'
31,b'Human hair'
32,b'Human hand'
33,b'Human nose'
34,b'Human hand'
35,b'Human nose'
36,b'Human mouth'
37,b'Human hand'
38,b'Human eye'
39,b'Human nose'
40,b'Human nose'
41,b'Human hair'
42,b'Person'
43,b'Clothing'
44,b'Human arm'
45,b'Human face'
46,b'Mammal'
47,b'Human face'
48,b'Human arm'
49,b'Cosmetics'
50,b'Human arm'
51,b'Man'
52,b'Human eye'
53,b'Human face'
54,b'Human eye'
55,b'Clothing'
56,b'Human nose'
57,b'Person'
58,b'Human arm'
59,b'Boy'
60,b'Cosmetics'
61,b'Human beard'
62,b'Human ear'
63,b'Human head'
64,b'Human eye'
65,b'Human nose'
66,b'Clothing'
67,b'Human nose'
68,b'Human face'
69,b'Lipstick'
70,b'Human mouth'
71,b'Human hand'
72,b'Human hair'
73,b'Human hand'
74,b'Human eye'
75,b'Human beard'
76,b'Human hand'
77,b'Human body'
78,b'Human eye'
79,b'Human eye'
80,b'Human nose'
81,b'Human hand'
82,b'Man'
83,b'Human nose'
84,b'Fashion accessory'
85,b'Human arm'
86,b'Woman'
87,b'Boy'
88,b'Human hair'
89,b'Person'
90,b'Human eye'
91,b'Fashion accessory'
92,b'Clothing'
93,b'Human face'
94,b'Human eye'
95,b'Sculpture'
96,b'Human arm'
97,b'Human hair'
98,b'Human face'
99,b'Human hand'
