,a,b,c,d
0,0.10433459,0.4163758,0.3447592,0.51027066
1,0.08197459,0.27467814,0.9804701,0.6686766
2,0.7512977,0.32028973,0.99614024,0.6223811
3,0.30285668,0.3049618,0.93522227,0.6622723
4,0.09115647,0.28612983,0.995529,0.67625594
5,0.06070913,0.787484,1.0,0.8795087
6,0.06623988,0.31239086,0.5958183,0.57228017
7,0.34994167,0.29152563,0.9590599,0.6702862
8,0.74568,0.32301104,0.9917182,0.61944824
9,0.069817446,0.35603434,0.3530775,0.529487
10,0.17774491,0.4294558,0.2127724,0.46324897
11,0.041543223,0.70791274,0.97649395,0.9177391
12,0.11223575,0.28138623,0.9491944,0.6988571
13,0.42898768,0.39983013,0.83685017,0.657507
14,0.025227968,0.39646906,0.99961215,0.9974524
15,0.086793065,0.2719341,0.97027063,0.6763983
16,0.0,0.0,0.972451,1.0
17,0.35333818,0.30594766,0.8991286,0.6879406
18,0.12954183,0.29801977,0.9570207,0.6855875
19,0.27099565,0.4552095,0.3139811,0.49808562
20,0.42078918,0.33801684,0.86136353,0.567615
21,0.0,0.17660965,0.95932245,0.7894376
22,0.0,0.0816848,1.0,0.89617026
23,0.17977056,0.43710768,0.20457101,0.4662059
24,0.06873701,0.33985928,0.440748,0.5261088
25,0.02524648,0.5595534,0.9495462,0.89935577
26,0.7837435,0.33197033,0.9986827,0.6114958
27,0.0,0.39602593,1.0,0.9973548
28,0.4794849,0.003142433,0.9396571,0.9737588
29,0.18336187,0.46759516,0.27139258,0.49801958
30,0.3918217,0.33319283,0.7577664,0.630133
31,0.4941183,0.50269204,0.8271519,0.6702587
32,0.07195735,0.7924953,0.9851215,0.8775916
33,0.17700422,0.4776021,0.20567407,0.5028187
34,0.45531327,0.3471817,0.7432034,0.5250255
35,0.12796326,0.25833544,0.9078837,0.67611265
36,0.0907106,0.08075241,1.0,0.8514091
37,0.77158695,0.33879352,1.0,0.6288711
38,0.0,0.061386947,1.0,0.88035774
39,0.18072195,0.48029724,0.21527833,0.5068872
40,0.07812984,0.32191584,0.4349815,0.5417242
41,0.026361594,0.014860792,0.66293657,0.14935975
42,0.05133464,0.529963,0.9983605,0.9189636
43,0.0,0.20798148,1.0,0.93209976
44,0.75794834,0.30930713,0.9936824,0.6140645
45,0.0,0.65987515,0.99869287,1.0
46,0.012943319,0.65905607,0.9729012,1.0
47,0.11499629,0.04234165,1.0,1.0
48,0.3766881,0.06474861,0.9631891,0.9115353
49,0.36541912,0.30481166,0.8079438,0.5216009
50,0.33881074,0.2846256,0.85160697,0.668484
51,0.09720009,0.79408354,0.89517003,0.87434983
52,0.17184222,0.4260806,0.22104277,0.46766403
53,0.78481996,0.451525,1.0,0.60621434
54,0.057463966,0.05030301,0.16508482,0.07158412
55,0.3581221,0.3544251,0.8310088,0.6218302
56,0.0,0.41292322,0.90667677,0.8475441
57,0.039980724,0.76975876,1.0,0.9068233
58,0.52406305,0.5081292,0.83080876,0.66088283
59,0.029002585,0.82943404,0.95143336,0.9774368
60,0.20051725,0.46140236,0.25391573,0.48944214
61,0.5048255,0.31751215,0.9234338,0.63843375
62,0.48835084,0.131142,1.0,0.9261699
63,0.2718911,0.462851,0.3003314,0.4940314
64,0.07159022,0.28094986,0.99167055,0.70152205
65,0.7759734,0.33151603,1.0,0.62001806
66,0.531564,0.501421,0.8091084,0.65780663
67,0.7444635,0.32178605,1.0,0.6190077
68,0.76978934,0.31878948,0.9980673,0.62168926
69,0.000646286,0.0,0.6946428,0.17701595
70,0.78186977,0.34392998,0.993708,0.5922793
71,0.0,0.08203987,0.9435352,0.95037365
72,0.3022399,0.29407406,0.9692112,0.66715026
73,0.18650277,0.0015858257,0.36795023,0.028284587
74,0.17064503,0.4116012,0.22930084,0.48055458
75,0.75758934,0.34065756,0.98746973,0.6122473
76,0.7015561,0.005948753,0.96805483,0.99682647
77,0.23730299,0.31988114,0.9673758,0.8469307
78,0.0,0.0032725525,0.72191286,0.17566633
79,0.083998285,0.39716998,0.25484273,0.5186762
80,0.0,0.0064472198,0.8669263,0.19998455
81,0.4347872,0.19881195,0.99421054,0.689039
82,0.7511991,0.34196907,1.0,0.6171839
83,0.032174174,0.0067710304,0.89911085,0.22281334
84,0.53812855,0.49783087,0.80115825,0.666774
85,0.7712958,0.33369035,1.0,0.62762076
86,0.67821324,0.029889144,0.98948663,0.9256627
87,0.0541965,0.2908502,0.792322,0.6251844
88,0.7212058,0.32046446,0.99033564,0.615739
89,0.023601456,0.3654247,0.84442407,0.9417729
90,0.0,0.0072596073,0.9115933,0.19392188
91,0.07341451,0.26565644,0.9925763,0.6987071
92,0.010123545,0.0,1.0,1.0
93,0.34950617,0.2780113,0.99309146,0.66708875
94,0.097830966,0.28039163,0.938349,0.85979134
95,0.019620666,0.0,0.94114023,0.2491505
96,0.28034353,0.05226326,0.9577687,0.9302764
97,0.037947033,0.84887767,0.99147403,0.9998224
98,0.10737132,0.8519394,0.9713896,0.99493146
99,0.27938816,0.4512538,0.32155567,0.49375892
