,a
0,b'Person'
1,b'Box'
2,b'Human hand'
3,b'Table'
4,b'Person'
5,b'Box'
6,b'Table'
7,b'Human hand'
8,b'Countertop'
9,b'Furniture'
10,b'Human arm'
11,b'Person'
12,b'Human hand'
13,b'Human hand'
14,b'Man'
15,b'Human hand'
16,b'Clothing'
17,b'Furniture'
18,b'Box'
19,b'Clothing'
20,b'Table'
21,b'Clothing'
22,b'Human arm'
23,b'Book'
24,b'Countertop'
25,b'Human hand'
26,b'Person'
27,b'Human hand'
28,b'Human hand'
29,b'Office supplies'
30,b'House'
31,b'Person'
32,b'Toy'
33,b'Man'
34,b'Man'
35,b'Human arm'
36,b'Table'
37,b'Box'
38,b'Mammal'
39,b'Desk'
40,b'Human arm'
41,b'Shelf'
42,b'Table'
43,b'House'
44,b'Window'
45,b'Human hand'
46,b'Bathtub'
47,b'Human arm'
48,b'Human leg'
49,b'Desk'
50,b'Office supplies'
51,b'Clothing'
52,b'Clothing'
53,b'Shelf'
54,b'Human hand'
55,b'Clothing'
56,b'Stairs'
57,b'Boat'
58,b'Human arm'
59,b'Human arm'
60,b'Office supplies'
61,b'Building'
62,b'Mammal'
63,b'Man'
64,b'Box'
65,b'Clothing'
66,b'Office supplies'
67,b'Clothing'
68,b'Human hand'
69,b'House'
70,b'Human face'
71,b'Medical equipment'
72,b'Footwear'
73,b'Human foot'
74,b'Human body'
75,b'Picture frame'
76,b'Swimming pool'
77,b'Human arm'
78,b'Shelf'
79,b'Vehicle'
80,b'Boy'
81,b'Human body'
82,b'Coffee table'
83,b'Person'
84,b'Human hand'
85,b'Vehicle'
86,b'Table'
87,b'Book'
88,b'Jacuzzi'
89,b'Clothing'
90,b'Mammal'
91,b'Human arm'
92,b'Plant'
93,b'Woman'
94,b'Cutting board'
95,b'Beehive'
96,b'Human body'
97,b'Stairs'
98,b'Human foot'
99,b'Human body'
