,a
0,0.89442766
1,0.78964293
2,0.6568305
3,0.6268326
4,0.3462259
5,0.26420638
6,0.25382343
7,0.2513507
8,0.21608593
9,0.21210508
10,0.18257564
11,0.10187231
12,0.07487002
13,0.073379
14,0.067822695
15,0.05603103
16,0.054612383
17,0.047960486
18,0.03874402
19,0.0376892
20,0.036260955
21,0.035038926
22,0.034275554
23,0.03291925
24,0.032699693
25,0.03237448
26,0.031093925
27,0.029555874
28,0.029311989
29,0.027504066
30,0.023637721
31,0.02355789
32,0.023438372
33,0.023417812
34,0.022992255
35,0.022935532
36,0.021968061
37,0.020385245
38,0.019250842
39,0.019060688
40,0.018962797
41,0.018890657
42,0.016767295
43,0.016674558
44,0.016533008
45,0.015640827
46,0.015108608
47,0.015029564
48,0.014757586
49,0.013999401
50,0.012810454
51,0.012512656
52,0.01248709
53,0.011783918
54,0.011265168
55,0.01096893
56,0.01078859
57,0.010681957
58,0.010598638
59,0.010277532
60,0.01016198
61,0.009986519
62,0.009857957
63,0.009822044
64,0.009419989
65,0.009351839
66,0.009312383
67,0.009277242
68,0.008824932
69,0.008362781
70,0.008180364
71,0.008013925
72,0.007834674
73,0.0073142867
74,0.0072667818
75,0.007218985
76,0.0069673522
77,0.006661805
78,0.0066601248
79,0.0063974992
80,0.0059213177
81,0.005811428
82,0.005620252
83,0.0054029967
84,0.00533531
85,0.0052833674
86,0.0052425903
87,0.0051724664
88,0.0051612663
89,0.0049519134
90,0.0048857215
91,0.004807043
92,0.0047023077
93,0.0046174135
94,0.004613136
95,0.0045189047
96,0.004518398
97,0.004507408
98,0.004488549
99,0.0042706016
