,a
0,b'Clothing'
1,b'Human face'
2,b'Office building'
3,b'Person'
4,b'Woman'
5,b'Desk'
6,b'Desk'
7,b'Girl'
8,b'Table'
9,b'Human head'
10,b'Desk'
11,b'Human hair'
12,b'Furniture'
13,b'Woman'
14,b'Laptop'
15,b'Door'
16,b'Building'
17,b'Table'
18,b'Office building'
19,b'Footwear'
20,b'Office building'
21,b'Furniture'
22,b'Table'
23,b'Person'
24,b'Dress'
25,b'Table'
26,b'Human hand'
27,b'Person'
28,b'Camera'
29,b'Laptop'
30,b'Human eye'
31,b'Desk'
32,b'Human arm'
33,b'Girl'
34,b'Woman'
35,b'Human hand'
36,b'Human hand'
37,b'Woman'
38,b'House'
39,b'Human eye'
40,b'Human arm'
41,b'Human hair'
42,b'Kitchen appliance'
43,b'Furniture'
44,b'Desk'
45,b'Furniture'
46,b'Human ear'
47,b'Human nose'
48,b'Chair'
49,b'Window'
50,b'Human body'
51,b'Man'
52,b'Home appliance'
53,b'Musical instrument'
54,b'Chair'
55,b'Human nose'
56,b'Man'
57,b'Human arm'
58,b'Human arm'
59,b'Human hair'
60,b'Person'
61,b'Furniture'
62,b'Human arm'
63,b'Furniture'
64,b'Human hair'
65,b'Computer keyboard'
66,b'Bowling equipment'
67,b'Person'
68,b'Human head'
69,b'Medical equipment'
70,b'Table'
71,b'Human face'
72,b'Person'
73,b'Man'
74,b'Car'
75,b'Office supplies'
76,b'Mammal'
77,b'Chair'
78,b'Building'
79,b'Girl'
80,b'Person'
81,b'Car'
82,b'Laptop'
83,b'Office supplies'
84,b'Medical equipment'
85,b'Desk'
86,b'Clothing'
87,b'Human arm'
88,b'Laptop'
89,b'Furniture'
90,b'Person'
91,b'Chair'
92,b'Clothing'
93,b'Human arm'
94,b'Window'
95,b'Fashion accessory'
96,b'Human arm'
97,b'Furniture'
98,b'Furniture'
99,b'Bottle'
