,a
0,b'Woman'
1,b'Human face'
2,b'Clothing'
3,b'Table'
4,b'House'
5,b'Tableware'
6,b'Table'
7,b'Girl'
8,b'Clothing'
9,b'Food'
10,b'Window'
11,b'Window'
12,b'Human hair'
13,b'Desk'
14,b'Tableware'
15,b'Clothing'
16,b'Human hair'
17,b'Human head'
18,b'Furniture'
19,b'Fast food'
20,b'Coffee cup'
21,b'Dress'
22,b'Furniture'
23,b'Coffee table'
24,b'Building'
25,b'Person'
26,b'Desk'
27,b'Plate'
28,b'Office building'
29,b'Human hair'
30,b'Window'
31,b'Human arm'
32,b'Tableware'
33,b'Dress'
34,b'Furniture'
35,b'House'
36,b'Platter'
37,b'Food'
38,b'Window'
39,b'Clothing'
40,b'Food'
41,b'Human body'
42,b'Nightstand'
43,b'Human hair'
44,b'Kitchen appliance'
45,b'Chair'
46,b'Human leg'
47,b'Tableware'
48,b'Office supplies'
49,b'House'
50,b'Human arm'
51,b'Human arm'
52,b'Kitchen & dining room table'
53,b'Window'
54,b'Human hair'
55,b'House'
56,b'Countertop'
57,b'Tableware'
58,b'Tableware'
59,b'Chair'
60,b'Bed'
61,b'Office building'
62,b'Clothing'
63,b'Footwear'
64,b'Mammal'
65,b'Tableware'
66,b'Bed'
67,b'Human arm'
68,b'Snack'
69,b'Building'
70,b'Human mouth'
71,b'Fast food'
72,b'Person'
73,b'Mug'
74,b'Tableware'
75,b'Window'
76,b'Tableware'
77,b'Food'
78,b'Door'
79,b'Person'
80,b'Countertop'
81,b'Kitchen & dining room table'
82,b'Fast food'
83,b'Human face'
84,b'Table'
85,b'Cabinetry'
86,b'Platter'
87,b'Coffee table'
88,b'Chair'
89,b'Chest of drawers'
90,b'House'
91,b'Clothing'
92,b'Table'
93,b'Clothing'
94,b'Clothing'
95,b'Table'
96,b'Couch'
97,b'Cabinetry'
98,b'Tableware'
99,b'Window'
