,a,b,c,d
0,0.078225866,0.29878962,0.9427594,0.9682936
1,0.10503169,0.032710876,0.98737895,0.86376655
2,0.030350927,0.058888815,0.61662394,0.88471603
3,0.25731334,0.47276866,0.3692534,0.5428027
4,0.24713156,0.41270706,0.45690778,0.556887
5,0.28356364,0.17884128,0.987237,0.81463623
6,0.2451825,0.41044486,0.46561676,0.5643178
7,0.23169391,0.14717987,1.0,0.8876033
8,0.07138728,0.0,0.94797856,0.52976424
9,0.14698295,0.08667561,0.91238904,0.70076185
10,0.24270006,0.47430524,0.9772825,0.9900784
11,0.091162845,0.03616081,0.9249588,0.8219667
12,0.15659015,0.05865383,0.89382285,0.7932452
13,0.41839775,0.014194469,1.0,0.39763695
14,0.3811034,0.21486236,0.9898038,0.9508417
15,0.066931054,0.00030181883,0.97400445,0.43974966
16,0.29359573,0.4848933,0.37153667,0.5463987
17,0.0,0.33951315,0.4907839,0.7435166
18,0.4301297,0.35756478,0.9830637,0.9881118
19,0.069919534,0.2534514,0.82122725,0.7896487
20,0.23006172,0.20912376,0.9540284,0.86740994
21,0.11941747,0.007367668,1.0,0.7237106
22,0.2774073,0.0,0.96517175,0.40975967
23,0.009460145,0.29536614,0.51991314,0.773052
24,0.073942825,0.0,1.0,0.83689505
25,0.25501174,0.47376257,0.358207,0.53529876
26,0.4283317,0.42044136,0.9767984,0.94750065
27,0.3167877,0.596697,0.660275,0.98626775
28,0.091546,0.24896662,0.83492994,0.7373097
29,0.11946584,0.047164954,0.8413096,0.4619792
30,0.30576923,0.42066038,0.4588142,0.5379614
31,0.007731832,0.04300228,0.5980663,0.75080776
32,0.3538363,0.50082976,0.9858437,1.0
33,0.37403348,0.37851804,0.97156984,0.98242015
34,0.7160361,0.5415923,0.9842483,0.9024018
35,0.022779338,0.062217176,0.6069846,0.8709853
36,0.35952717,0.0043081855,1.0,0.38614386
37,0.014146424,0.030338096,0.93440276,0.85968167
38,0.044192456,0.596802,0.9144831,1.0
39,0.01713669,0.054968033,0.5855729,0.7567729
40,0.036807355,0.0,0.96553355,0.502666
41,0.2723278,0.27427146,0.9781469,0.8972288
42,0.0135440575,0.3314689,0.4706178,0.748582
43,0.27427152,0.014778194,0.87080467,0.3712345
44,0.022383753,0.34293815,0.7796743,0.7731544
45,0.0,0.34920344,0.54438454,0.7356942
46,0.034352213,0.021139527,0.86574966,0.81364685
47,0.50893253,0.41406256,1.0,0.98673224
48,0.0057285056,0.31093052,0.5377678,0.7625774
49,0.03730573,0.0,0.47560406,0.31121233
50,0.200418,0.026385974,0.7898818,0.34828293
51,0.13165106,0.02580242,0.9067934,0.795029
52,0.008853964,0.18216011,0.61726695,0.885891
53,0.1793122,0.0,0.38169786,0.14662576
54,0.06477147,0.29954627,0.9306486,0.91135097
55,0.027550863,0.26937884,0.8549685,0.7934686
56,0.48410127,0.24875668,1.0,1.0
57,0.1537088,0.0667172,0.8559872,0.6423063
58,0.4281101,0.41856414,1.0,0.9887123
59,0.18399382,0.050335653,0.967944,0.50385815
60,0.2500793,0.4082116,0.45914787,0.5625875
61,0.022366893,0.29782242,0.5208291,0.76073647
62,0.030575588,0.32025117,0.50456595,0.77182686
63,0.69146883,0.45323426,0.9923221,0.8272357
64,0.0111834975,0.33844635,0.5260652,0.7500892
65,0.24887447,0.47088146,0.38973176,0.5518736
66,0.66073865,0.6431993,0.99881035,0.96851116
67,0.2062347,0.466595,0.91486126,0.9558172
68,0.28453216,0.0004665184,0.97353435,0.38126463
69,0.38049436,0.2580744,0.7769186,0.6197918
70,0.6525219,0.67642736,0.99806917,1.0
71,0.40597,0.37547275,0.9459597,0.9544539
72,0.2470332,0.41170233,0.4640936,0.55892265
73,0.34383956,0.053913727,0.97297925,0.72677207
74,0.065281294,0.28325126,0.91415703,0.89434975
75,0.6087265,0.14815147,1.0,0.8958665
76,0.58508706,0.53451496,0.9230833,0.8669936
77,0.6063212,0.1457487,1.0,0.90042615
78,0.25786698,0.40928316,0.46078438,0.55674917
79,0.5706646,0.60653573,0.9014256,0.843225
80,0.059514824,0.08580872,0.73124725,0.8134211
81,0.055068642,0.06762546,0.60926473,0.7789601
82,0.034377746,0.005054922,0.5531864,0.301901
83,0.0,0.0063501736,0.25316408,0.20029786
84,0.3101529,0.23934248,0.92374766,0.68543714
85,0.07237564,0.27125117,0.77943665,0.7988908
86,0.1390144,0.2562328,0.9681179,0.95955867
87,0.65542096,0.011379928,0.99825615,0.40801424
88,0.2626719,0.23428307,0.5290038,0.38453552
89,0.82888305,0.0029908228,0.99426883,0.14219129
90,0.27316213,0.4949379,0.3822734,0.5514153
91,0.5715556,0.074211046,0.9968754,0.9758419
92,0.032264814,0.0,0.94706726,0.52493626
93,0.115212,0.61981297,0.87464756,0.9833816
94,0.06445269,0.027684573,0.7669803,0.34169638
95,0.032460608,0.07298347,0.58627176,0.7640828
96,0.10130916,0.10513193,0.90982956,0.59788895
97,0.5910672,0.61836606,0.9227054,0.85236984
98,0.29526022,0.58836854,0.6889559,0.9850511
99,0.030107727,0.04975185,0.94421947,0.9304939
