,a,b,c,d
0,0.19453508,0.20622642,0.79834336,0.3790493
1,0.7394372,0.2219758,0.78336024,0.27504933
2,0.2838482,0.6319187,0.7906944,1.0
3,0.26147503,0.21853802,0.74223185,0.37654373
4,0.74692136,0.3204718,0.7880571,0.35796142
5,0.27321872,0.6037212,0.9138032,1.0
6,0.73546755,0.90663886,0.8895197,0.98944753
7,0.2419765,0.62036836,0.89604914,0.99558836
8,0.22188488,0.27039322,0.29206422,0.309853
9,0.0,0.0,0.8861598,0.95553756
10,0.31873605,0.20766866,0.500162,0.26322863
11,0.025605673,0.04206051,0.8369389,0.9118953
12,0.47418112,0.22356929,0.7824796,0.2918167
13,0.47399038,0.23254429,0.7451814,0.35875878
14,0.74747187,0.31912348,0.7873403,0.35772133
15,0.725102,0.22356442,0.7746237,0.2768352
16,0.25584623,0.44644758,0.910295,0.93600905
17,0.3213738,0.33137095,0.51483375,0.37574884
18,0.43809977,0.23430765,0.7455715,0.35619903
19,0.20326136,0.2586477,0.29463,0.31571367
20,0.18898705,0.20803356,0.8046452,0.37583867
21,0.20641348,0.26058728,0.2542135,0.310178
22,0.28458232,0.2152619,0.50767225,0.37886107
23,0.35626858,0.64020324,0.6427466,0.76980805
24,0.37050337,0.33774,0.5296379,0.37425184
25,0.7406105,0.21921057,0.7820496,0.27576005
26,0.25836822,0.5982607,0.907175,0.9990728
27,0.038521882,0.0,0.8289244,0.96342313
28,0.26957887,0.6123229,0.85548526,1.0
29,0.24491118,0.2022198,0.78542817,0.38532123
30,0.25696096,0.20690833,0.77098095,0.39805025
31,0.80203784,0.90137434,0.88483113,0.9789497
32,0.47858512,0.2999715,0.78930116,0.37087923
33,0.729351,0.2199173,0.7682464,0.26565266
34,0.4794618,0.24391265,0.7924995,0.32137436
35,0.8219249,0.9012643,0.88927144,0.9633392
36,0.74702644,0.31598362,0.787188,0.34471437
37,0.83651704,0.90184265,0.8859728,0.94533795
38,0.0026667533,0.9012855,0.08087308,1.0
39,0.2063536,0.19687366,0.78111917,0.38679594
40,0.47464427,0.23300417,0.75871646,0.35490295
41,0.30939078,0.733412,0.89054173,0.99093306
42,0.4857684,0.28138593,0.7915725,0.35123202
43,0.7427946,0.21756282,0.77771795,0.25295925
44,0.72840697,0.31878006,0.77950865,0.35441947
45,0.742564,0.33067915,0.78146046,0.36268875
46,0.6839035,0.8409003,0.89760345,0.98638374
47,0.49135467,0.6670975,0.75487024,0.8478432
48,0.25537866,0.6240492,0.8874637,1.0
49,0.3687582,0.20063451,0.49122584,0.25387254
50,0.12790439,0.30806547,0.9126178,0.88072294
51,0.4094714,0.64668715,0.70537746,0.81607616
52,0.21536057,0.19749248,0.7750966,0.3918628
53,0.0,0.019136084,0.83130085,0.7469823
54,0.5551333,0.7056158,0.9014535,0.9647967
55,0.3249363,0.6482754,0.54648286,0.78089714
56,0.73394597,0.90391415,0.89003664,0.9904118
57,0.009079056,0.004528408,0.7381129,0.5799522
58,0.03009931,0.09721359,0.55424213,0.9034262
59,0.20747176,0.2664034,0.87271637,1.0
60,0.0066602835,0.92901427,0.070043184,1.0
61,0.029374009,0.043893643,0.81903446,0.61749595
62,0.38127056,0.8038778,0.8731476,0.9936205
63,0.3584386,0.40103847,0.4803065,0.45430055
64,0.26650771,0.43894675,0.829778,0.93259007
65,0.62047803,0.89102286,0.89859205,0.9894048
66,0.38610026,0.65393436,0.5249744,0.7512818
67,0.06953199,0.04114231,0.8146975,0.8913661
68,0.24801713,0.6041556,0.8761343,1.0
69,0.7851757,0.89681596,0.88762766,0.9552681
70,0.007311122,0.4875189,0.081307836,0.8955844
71,0.39680547,0.64855576,0.5103922,0.7440761
72,0.36515614,0.80166334,0.852324,0.9824396
73,0.36487538,0.7576208,0.8922211,1.0
74,0.5772747,0.021646347,0.9821347,0.9837676
75,0.3213331,0.70634186,0.8476521,0.9961587
76,0.0,0.0,0.8371703,0.9605436
77,0.45301005,0.19313051,0.7574987,0.2772963
78,0.3795172,0.6339252,0.7135488,0.8047112
79,0.5385424,0.0,0.9692497,1.0
80,0.20846288,0.27976906,0.87978417,1.0
81,0.45274696,0.62366575,0.8406331,0.96981794
82,0.39669117,0.23344187,0.9155173,1.0
83,0.04265994,0.058010824,0.8946176,0.6237972
84,0.54039025,0.053794667,0.97353244,1.0
85,0.09483699,0.03630764,0.7931917,1.0
86,0.2060953,0.25883436,0.27853438,0.3179922
87,0.039124656,0.0,0.8775931,0.9773918
88,0.33343932,0.94257236,0.49920014,0.9972259
89,0.36530387,0.7025099,0.8216184,0.99971324
90,0.0054529826,0.15077846,0.61017907,0.962265
91,0.36313695,0.6199373,0.74367243,0.94206053
92,0.28242594,0.63045925,0.7751263,0.9910126
93,0.31179735,0.20240395,0.54985297,0.28126296
94,0.29326716,0.71891713,0.8635569,0.98852974
95,0.7837669,0.6796229,0.8792031,0.80792946
96,0.54975927,0.68963355,0.86738896,0.97908866
97,0.36361805,0.4028205,0.49015668,0.4496129
98,0.028789038,0.03685894,0.8287903,0.89767134
99,0.36375874,0.40667745,0.49008515,0.45201164
