,a
0,b'Table'
1,b'Person'
2,b'Human face'
3,b'Human face'
4,b'Human face'
5,b'Woman'
6,b'Clothing'
7,b'Clothing'
8,b'Woman'
9,b'Clothing'
10,b'Person'
11,b'Man'
12,b'Clothing'
13,b'Man'
14,b'Food'
15,b'Clothing'
16,b'Person'
17,b'Person'
18,b'Suit'
19,b'Clothing'
20,b'Fast food'
21,b'Person'
22,b'Clothing'
23,b'Desk'
24,b'Woman'
25,b'Man'
26,b'Man'
27,b'Person'
28,b'Clothing'
29,b'Man'
30,b'Food'
31,b'Tableware'
32,b'Human hand'
33,b'Human hair'
34,b'Human arm'
35,b'Suit'
36,b'Human hair'
37,b'Person'
38,b'Clothing'
39,b'Food'
40,b'Office building'
41,b'Person'
42,b'Man'
43,b'Desk'
44,b'Food'
45,b'Man'
46,b'Snack'
47,b'Table'
48,b'Man'
49,b'Human head'
50,b'Human hand'
51,b'Food'
52,b'Food'
53,b'Person'
54,b'Girl'
55,b'Woman'
56,b'Human arm'
57,b'Person'
58,b'Woman'
59,b'Human head'
60,b'Woman'
61,b'Girl'
62,b'Clothing'
63,b'Table'
64,b'Food'
65,b'Woman'
66,b'Clothing'
67,b'Fast food'
68,b'Fast food'
69,b'Girl'
70,b'Woman'
71,b'Clothing'
72,b'Human arm'
73,b'Person'
74,b'Countertop'
75,b'Fast food'
76,b'Fast food'
77,b'Human arm'
78,b'Food'
79,b'Girl'
80,b'Suit'
81,b'Tableware'
82,b'Human body'
83,b'Jacket'
84,b'Food'
85,b'Man'
86,b'Human mouth'
87,b'Human body'
88,b'Musical instrument'
89,b'Platter'
90,b'Food'
91,b'Furniture'
92,b'Coffee table'
93,b'Fast food'
94,b'Tableware'
95,b'Food'
96,b'Dress'
97,b'Coat'
98,b'Dress'
99,b'Human body'
