,a
0,b'Human face'
1,b'Woman'
2,b'Clothing'
3,b'Human arm'
4,b'Dress'
5,b'Human hair'
6,b'Clothing'
7,b'Clothing'
8,b'Dress'
9,b'Girl'
10,b'Person'
11,b'Clothing'
12,b'Clothing'
13,b'Dress'
14,b'Human head'
15,b'Clothing'
16,b'Human eye'
17,b'Window'
18,b'Human arm'
19,b'Human mouth'
20,b'Human body'
21,b'Furniture'
22,b'Human arm'
23,b'Person'
24,b'Window'
25,b'Human nose'
26,b'Clothing'
27,b'Dress'
28,b'Clothing'
29,b'Human arm'
30,b'Window'
31,b'Clothing'
32,b'Human arm'
33,b'Man'
34,b'Furniture'
35,b'Dress'
36,b'Human arm'
37,b'Clothing'
38,b'Door'
39,b'Woman'
40,b'Person'
41,b'Human hair'
42,b'Trousers'
43,b'Curtain'
44,b'Flower'
45,b'Clothing'
46,b'Window'
47,b'Plant'
48,b'Man'
49,b'Human body'
50,b'Clothing'
51,b'Human mouth'
52,b'Window'
53,b'Fashion accessory'
54,b'Human head'
55,b'Scarf'
56,b'House'
57,b'Clothing'
58,b'Dress'
59,b'Human mouth'
60,b'Window'
61,b'Human arm'
62,b'Fashion accessory'
63,b'Man'
64,b'Mammal'
65,b'Human arm'
66,b'Door'
67,b'Person'
68,b'Human arm'
69,b'Furniture'
70,b'Chair'
71,b'Human arm'
72,b'Building'
73,b'Suit'
74,b'Human arm'
75,b'Human body'
76,b'Woman'
77,b'Man'
78,b'Fashion accessory'
79,b'Window'
80,b'Human hair'
81,b'Poster'
82,b'Woman'
83,b'Furniture'
84,b'Human mouth'
85,b'Human hair'
86,b'Shorts'
87,b'Curtain'
88,b'Suit'
89,b'Plant'
90,b'Scarf'
91,b'Dress'
92,b'Doll'
93,b'Jeans'
94,b'Fashion accessory'
95,b'Human mouth'
96,b'Sculpture'
97,b'Fashion accessory'
98,b'Houseplant'
99,b'Shelf'
