,a
0,b'Human face'
1,b'Woman'
2,b'Clothing'
3,b'Human nose'
4,b'Human ear'
5,b'Person'
6,b'Man'
7,b'Furniture'
8,b'Human eye'
9,b'Human hair'
10,b'Table'
11,b'Girl'
12,b'Human hair'
13,b'Human mouth'
14,b'Human head'
15,b'Furniture'
16,b'Human hair'
17,b'Bottle'
18,b'Furniture'
19,b'Microphone'
20,b'Clothing'
21,b'Human mouth'
22,b'Person'
23,b'Clothing'
24,b'Human hair'
25,b'Woman'
26,b'Kitchen appliance'
27,b'Boy'
28,b'Human body'
29,b'Clothing'
30,b'Human head'
31,b'Mammal'
32,b'Drink'
33,b'Man'
34,b'Desk'
35,b'Shirt'
36,b'Human mouth'
37,b'Human body'
38,b'Lipstick'
39,b'Chair'
40,b'Mammal'
41,b'Kitchen appliance'
42,b'Human eye'
43,b'Human mouth'
44,b'Human body'
45,b'Furniture'
46,b'Human nose'
47,b'Human arm'
48,b'Fashion accessory'
49,b'Man'
50,b'Woman'
51,b'Furniture'
52,b'Human eye'
53,b'Woman'
54,b'Girl'
55,b'Human mouth'
56,b'Human mouth'
57,b'Bottle'
58,b'Chair'
59,b'Chair'
60,b'Human mouth'
61,b'Clothing'
62,b'Human ear'
63,b'Human eye'
64,b'Chair'
65,b'Tableware'
66,b'Clothing'
67,b'Wine glass'
68,b'Human beard'
69,b'Human eye'
70,b'Human nose'
71,b'Furniture'
72,b'Cabinetry'
73,b'Bottle'
74,b'Human ear'
75,b'Kitchen appliance'
76,b'Drink'
77,b'Window'
78,b'Fashion accessory'
79,b'Chair'
80,b'Human nose'
81,b'Furniture'
82,b'Fashion accessory'
83,b'Human head'
84,b'Kitchen appliance'
85,b'Table'
86,b'Person'
87,b'Glasses'
88,b'Bottle'
89,b'Table'
90,b'Shelf'
91,b'Drink'
92,b'Fashion accessory'
93,b'Fashion accessory'
94,b'Human arm'
95,b'Human face'
96,b'Boy'
97,b'Man'
98,b'Clothing'
99,b'Kitchen appliance'
