,a
0,b'Camera'
1,b'Mobile phone'
2,b'Clothing'
3,b'Camera'
4,b'Auto part'
5,b'Clothing'
6,b'Person'
7,b'Camera'
8,b'Person'
9,b'Person'
10,b'Human hand'
11,b'Person'
12,b'Man'
13,b'Human face'
14,b'Human hand'
15,b'Human arm'
16,b'Human hand'
17,b'Mobile phone'
18,b'Clothing'
19,b'Human arm'
20,b'Human hand'
21,b'Human hand'
22,b'Mobile phone'
23,b'Clothing'
24,b'Person'
25,b'Mobile phone'
26,b'Mobile phone'
27,b'Human arm'
28,b'Man'
29,b'Human arm'
30,b'Person'
31,b'Mobile phone'
32,b'Auto part'
33,b'Human hand'
34,b'Human arm'
35,b'Clothing'
36,b'Human arm'
37,b'Human head'
38,b'Camera'
39,b'Person'
40,b'Man'
41,b'Mammal'
42,b'Tablet computer'
43,b'Clothing'
44,b'Auto part'
45,b'Mobile phone'
46,b'Clothing'
47,b'Home appliance'
48,b'Human arm'
49,b'Auto part'
50,b'Clothing'
51,b'Human hand'
52,b'Man'
53,b'Woman'
54,b'Human hand'
55,b'Human arm'
56,b'Clothing'
57,b'Auto part'
58,b'Land vehicle'
59,b'Mammal'
60,b'Human body'
61,b'Land vehicle'
62,b'Mobile phone'
63,b'Car'
64,b'Camera'
65,b'Clothing'
66,b'Clothing'
67,b'Watch'
68,b'Human arm'
69,b'Computer mouse'
70,b'Bowling equipment'
71,b'Human hand'
72,b'Human arm'
73,b'Human arm'
74,b'Human hand'
75,b'Man'
76,b'Car'
77,b'Person'
78,b'Camera'
79,b'Man'
80,b'Person'
81,b'Man'
82,b'Human body'
83,b'Human arm'
84,b'Human arm'
85,b'Person'
86,b'Vehicle'
87,b'Human hand'
88,b'Human hand'
89,b'Boy'
90,b'Fashion accessory'
91,b'Toy'
92,b'Laptop'
93,b'Human arm'
94,b'Woman'
95,b'Human face'
96,b'Vehicle'
97,b'Tree'
98,b'Clothing'
99,b'Human arm'
