,a,b,c,d
0,0.0,0.24052313,0.5036169,0.762803
1,0.45495224,0.022971839,0.98864526,0.92418545
2,0.10639887,0.45103252,0.31545392,0.71044266
3,0.0,0.009253502,0.98468864,0.9531332
4,0.0089524845,0.018987121,0.9173987,0.9764242
5,0.0039568585,0.07079628,0.9631,0.9695528
6,0.1514695,0.19125348,0.37208006,0.31332493
7,0.02380305,0.091738395,0.811215,0.57670414
8,0.40428907,0.71647733,0.9989424,1.0
9,0.3695458,0.32064658,1.0,1.0
10,0.0,0.011855164,0.98455364,0.85432094
11,0.024626898,0.1743323,0.5113794,0.8072531
12,0.04491552,0.1122707,0.6915299,0.7672528
13,0.6140276,0.00010166168,1.0,0.5716735
14,0.042259675,0.037666224,0.8033647,0.42456886
15,0.35603333,0.0008659172,0.98492706,0.5173157
16,0.008734818,0.13053684,0.49357402,0.7135902
17,0.41163138,0.005368881,1.0,1.0
18,0.0,0.03517704,0.9802145,0.99540555
19,0.025300192,0.03410427,1.0,0.5675787
20,0.44509763,0.14721484,1.0,0.90513444
21,0.19017985,0.11039066,1.0,0.96510756
22,0.10016393,0.3258126,0.3798556,0.7205473
23,0.36405373,0.7215844,1.0,1.0
24,0.0,0.08779045,0.95763636,0.95867634
25,0.0451915,0.07067844,0.6337333,0.57330287
26,0.01362882,0.2709703,0.17861232,0.67769134
27,0.0076343794,0.020247936,1.0,0.613104
28,0.44188377,0.7796046,1.0,0.99160016
29,0.51539034,0.24518451,0.9990027,0.8212575
30,0.0073025576,0.46835694,0.096153416,0.7140954
31,0.0,0.00483799,0.9789665,1.0
32,0.00821186,0.4944387,0.10590495,0.5697933
33,0.041902237,0.207602,0.74636835,0.74799156
34,0.0069398247,0.25151145,0.5793443,0.87205213
35,0.3954046,0.0,0.9762209,0.32813424
36,0.0020296606,0.18143947,0.34824386,0.77844954
37,0.0,0.5980083,0.11336634,0.7017439
38,0.040062767,0.35389894,1.0,0.9985905
39,0.0,0.19200552,0.25189978,0.7359195
40,0.0,0.036613863,0.98753786,0.58258694
41,0.012376633,0.10700794,0.35335568,0.5538155
42,0.08775073,0.060118027,0.8762493,0.48592466
43,0.6889634,0.0,0.98556167,0.4280776
44,0.06263312,0.1871033,0.32300544,0.29835555
45,0.011965742,0.2149266,0.08238042,0.58013576
46,0.0,0.08885883,0.5540049,0.85931927
47,0.19275439,0.039058797,0.9403142,0.629016
48,0.0,0.00045036315,0.99181134,0.5205268
49,0.001794885,0.57611066,0.0728505,0.7073621
50,0.39416978,0.7274299,0.996187,1.0
51,0.5159323,0.28326553,1.0,0.75931007
52,0.36086142,0.047308978,1.0,0.4345535
53,0.47001252,0.010399131,0.99107903,0.99655056
54,0.3598084,0.04938816,0.8585244,0.43544844
55,0.34051442,0.5460337,0.99505883,1.0
56,0.018480264,0.19771428,0.17042097,0.7634477
57,0.41880435,0.56923527,1.0,0.9757626
58,0.020737808,0.50284857,0.08455235,0.56360555
59,0.0,0.07227844,0.5526086,0.8745033
60,0.27900016,0.017328033,0.8836372,0.39054862
61,0.109288424,0.47351223,0.30516425,0.6905801
62,0.085578345,0.35119125,0.35782757,0.68331224
63,0.2081251,0.06419582,0.9140891,0.6600873
64,0.40914148,0.03428253,0.9939828,0.9711302
65,0.11538493,0.0,1.0,0.39763984
66,0.0037930792,0.5857843,0.045775473,0.6420662
67,0.12897448,0.45776388,0.29549387,0.7013138
68,0.10351085,0.003998432,0.9791334,0.40203887
69,0.07794083,0.25083148,0.8140071,0.82677567
70,0.002415282,0.57765454,0.058834173,0.67462045
71,0.6219738,0.028151168,0.9927164,0.3839723
72,0.1047525,0.32862613,0.9789011,0.9870953
73,0.23192973,0.68782985,0.9776346,0.9794165
74,0.0208018,0.2816132,0.4225168,0.72692394
75,0.20123243,0.018644638,0.997055,0.6733776
76,0.22431509,0.22368799,0.36784822,0.3262982
77,0.5429339,0.030568847,0.99085724,1.0
78,0.021137197,0.49803382,0.058371406,0.56692994
79,0.5968742,0.059135873,0.991167,0.5792563
80,0.40660024,0.15291095,0.99645543,0.7532864
81,0.48599702,0.06034851,0.97873914,0.978409
82,0.020848542,0.0064407345,0.97374064,0.59633595
83,0.21260557,0.7177356,0.9891146,0.99438095
84,0.004808628,0.5901707,0.048834573,0.66548735
85,0.53936577,0.048147313,1.0,0.9494917
86,0.08837347,0.08881246,0.80483794,0.68023884
87,0.006399206,0.30494145,0.6281777,0.90134186
88,0.010022141,0.5669094,0.05456004,0.7055224
89,0.0,0.1927015,0.16293897,0.25213492
90,0.043799795,0.25685596,0.27414587,0.62378776
91,0.10289144,0.07075931,0.83716047,0.8277899
92,0.011140188,0.07143529,0.44387347,0.36258623
93,0.26321247,0.020214366,1.0,0.29668313
94,0.28299144,0.15254833,0.9400086,0.72528183
95,0.5421841,0.0,0.9954749,0.771376
96,0.13108963,0.43494546,0.3022842,0.7037613
97,0.32351536,0.09561588,1.0,0.6753337
98,0.022763893,0.6229282,0.07289112,0.6825216
99,0.40342048,0.02824974,1.0,0.6130756
