,a,b,c,d
0,0.31183645,0.286681,0.6732604,0.40627018
1,0.35836896,0.62898946,0.6423079,0.7987864
2,0.32719004,0.6110078,0.7079466,0.8069632
3,0.63965446,0.30961308,0.66375226,0.3408953
4,0.63639915,0.73487073,0.72562695,0.77790374
5,0.64372987,0.36769715,0.6685336,0.3929544
6,0.0,0.03910591,0.94733644,0.99313134
7,0.3253381,0.61449933,0.71085465,0.8006805
8,0.3359512,0.29321223,0.63658166,0.40451235
9,0.34736905,0.5932691,0.6872179,0.72007424
10,0.31073534,0.28363964,0.6717742,0.40456513
11,0.31766418,0.33147758,0.36309874,0.3522657
12,0.6656307,0.73002166,0.72581583,0.7647171
13,0.4079693,0.27760786,0.5700842,0.31940988
14,0.35994342,0.63712746,0.4093611,0.66190237
15,0.46001798,0.5869572,0.6992077,0.69840467
16,0.45971087,0.58587646,0.66566354,0.70042783
17,0.6545077,0.37162444,0.67137986,0.3917077
18,0.35432175,0.2962743,0.5150717,0.40282512
19,0.32556686,0.6372824,0.38181943,0.6886188
20,0.4581308,0.58676624,0.7057197,0.7053315
21,0.48511505,0.31093013,0.63630444,0.3865701
22,0.6502181,0.3672713,0.6703068,0.38812938
23,0.38076964,0.28389785,0.54648864,0.32709965
24,0.4698148,0.3084133,0.66581124,0.3421139
25,0.32373866,0.63436234,0.409382,0.6905183
26,0.35442984,0.5934764,0.6920501,0.71830976
27,0.48263267,0.35289958,0.6665148,0.38878772
28,0.6330627,0.3663584,0.66699207,0.39132857
29,0.30663502,0.32546672,0.3637329,0.35707438
30,0.30822942,0.28114215,0.6720881,0.4077164
31,0.47826153,0.31595924,0.6696282,0.35114035
32,0.32722166,0.61512506,0.7004194,0.8030457
33,0.33606863,0.62736565,0.703462,0.7991094
34,0.32755587,0.28671274,0.67020917,0.40321526
35,0.6376821,0.32093176,0.6680232,0.34974143
36,0.46367055,0.59286577,0.6159253,0.68344414
37,0.36459434,0.6397465,0.40748218,0.6558855
38,0.6370398,0.3039729,0.6646916,0.3336776
39,0.005615158,0.014700813,0.73165274,0.61848587
40,0.06816648,0.019991111,0.63394105,0.37188983
41,0.46087867,0.6136372,0.49702215,0.63994384
42,0.4791621,0.5904789,0.6181976,0.6840823
43,0.3456412,0.65522546,0.3991099,0.7169091
44,0.32796422,0.64127195,0.40270188,0.7031291
45,0.34972033,0.66547585,0.39893314,0.71710396
46,0.38736573,0.5956808,0.6640082,0.7178373
47,0.3143186,0.28517646,0.6676229,0.4032492
48,0.32702315,0.60928124,0.7001707,0.80526084
49,0.0,0.5069167,0.72671145,0.9963152
50,0.6400846,0.35830632,0.67001706,0.38681424
51,0.48807436,0.34257454,0.66719943,0.37937614
52,0.3080733,0.3270222,0.34977537,0.35496226
53,0.31090558,0.28065863,0.66638976,0.40172842
54,0.3118081,0.28376442,0.66945696,0.4017452
55,0.48684725,0.31125072,0.6474706,0.38633487
56,0.66528565,0.7254814,0.72579837,0.7451437
57,0.48050666,0.32407883,0.6702133,0.3613884
58,0.46366405,0.58537334,0.6996864,0.698385
59,0.42016873,0.4426874,0.4921543,0.47187388
60,0.49616605,0.31691286,0.64438176,0.3860071
61,0.63744074,0.38017833,0.6661091,0.39820704
62,0.45194867,0.583755,0.7046893,0.70319563
63,0.4640903,0.5924296,0.61873686,0.6841503
64,0.3496863,0.63612276,0.4041382,0.66993725
65,0.3635161,0.5963913,0.68483883,0.71224827
66,0.46206716,0.60964173,0.5041767,0.6436144
67,0.6384462,0.30235195,0.66227055,0.32077128
68,0.4631394,0.61097413,0.5047907,0.6436916
69,0.45213452,0.52301955,0.50754744,0.5456958
70,0.42174858,0.44814083,0.48830023,0.48089266
71,0.4668097,0.60907435,0.50162435,0.63402313
72,0.46452,0.59179085,0.6934516,0.69909596
73,0.4956859,0.6397317,0.7147712,0.7778703
74,0.02057574,0.3356799,0.6865961,0.97930646
75,0.3559684,0.6261279,0.6174133,0.79758537
76,0.34533915,0.30271026,0.49660575,0.3961126
77,0.48443565,0.69347626,0.7334887,0.7877095
78,0.013759792,0.61059356,0.67922264,0.99145
79,0.011838888,0.0112746805,0.7133598,0.9621127
80,0.3478449,0.2920695,0.6687538,0.401225
81,0.32315373,0.6077053,0.7057232,0.8066634
82,0.63473606,0.32649052,0.6614714,0.35187763
83,0.35537785,0.5960014,0.6933234,0.7155909
84,0.6600501,0.6067823,0.7145251,0.67034364
85,0.41500852,0.43805397,0.48997754,0.4757228
86,0.41861594,0.44249755,0.492406,0.47183365
87,0.36462423,0.6438454,0.41358313,0.6768893
88,0.3823838,0.6300558,0.60700804,0.80039495
89,0.4433202,0.639419,0.7344933,0.7936667
90,0.3801048,0.36803946,0.48283133,0.39669615
91,0.63766336,0.30609873,0.6655664,0.34236473
92,0.6312862,0.30441302,0.6586136,0.3294524
93,0.631831,0.7342684,0.72217625,0.7792095
94,0.32939175,0.5910375,0.58138394,0.72656864
95,0.035100456,0.2883105,0.6790816,0.9816694
96,0.37067252,0.6274564,0.6314962,0.7966265
97,0.34740198,0.6185254,0.70549715,0.7983673
98,0.4588687,0.61663246,0.4885838,0.6449918
99,0.41436487,0.43493655,0.49379694,0.4667776
