,a,b,c,d
0,0.010166525,0.059825744,0.99086916,1.0
1,0.3716079,0.48578966,0.6620228,0.5706792
2,0.41352826,0.4975634,0.63494164,0.55914474
3,0.25184113,0.6419668,0.72507256,0.67947066
4,0.028717194,0.060204275,0.9572032,1.0
5,0.044833146,0.6855943,0.7555022,0.9969093
6,0.6134428,0.78951126,1.0,0.9995808
7,0.009968109,0.030602073,0.94887716,0.4460488
8,0.3674821,0.48554465,0.656011,0.57340187
9,0.013996277,0.6145685,0.92572886,0.9941586
10,0.02469162,0.4195999,0.9615208,0.9443147
11,0.18630807,0.793205,0.36453003,0.9584003
12,0.6219097,0.782843,1.0,1.0
13,0.056982785,0.78349686,0.20481794,0.9766182
14,0.32075137,0.7893332,0.6005967,0.9706711
15,0.4569399,0.88124347,0.59455293,0.9769889
16,0.06573344,0.44731703,0.9390895,0.94243026
17,0.63002735,0.525253,0.65732396,0.5507246
18,0.0,0.6515414,0.9198163,0.99332166
19,0.027759705,0.66566575,0.92234457,0.9899867
20,0.030969596,0.59052044,0.8860956,0.98702407
21,0.5571983,0.75125885,0.7257073,0.9857315
22,0.08120603,0.74713415,0.74362624,0.9804168
23,0.33365908,0.8782854,0.472379,0.96090263
24,0.7077383,0.729916,0.793539,0.79329765
25,0.10179985,0.68242484,0.77003247,0.99935246
26,0.5836706,0.7636825,0.71486866,0.99221516
27,0.038452353,0.54286367,0.9134252,0.9695435
28,0.5649622,0.74484885,0.7158208,0.99622303
29,0.6322118,0.52865165,0.65665674,0.5456675
30,0.06490634,0.7799016,0.2239779,0.97969913
31,0.0005800883,0.442824,0.9457554,0.9998554
32,0.18307689,0.78902197,0.54329526,0.965224
33,0.6233025,0.5169466,0.6570735,0.547071
34,0.05823846,0.7865111,0.20055246,0.89049
35,0.043438416,0.00017101287,0.9867489,0.54180914
36,0.29268485,0.8748545,0.59429055,0.9820531
37,0.04549558,0.69464225,0.73327506,0.99744743
38,0.553762,0.7441211,0.72598135,0.98879683
39,0.06776604,0.7373743,0.7088555,0.98996145
40,0.38297004,0.484044,0.6578902,0.5740949
41,0.62516636,0.52623516,0.6498678,0.5446452
42,0.04240387,0.124441735,0.95940167,0.5716686
43,0.0982207,0.68984747,0.738878,0.97939014
44,0.5676601,0.107556075,0.98323125,1.0
45,0.6055326,0.79040104,1.0,1.0
46,0.24796583,0.6439599,0.67928714,0.6772248
47,0.6400096,0.52719015,0.6613008,0.5504367
48,0.4381143,0.7978743,0.5922619,0.97899216
49,0.08545174,0.4736214,0.9059906,0.9851587
50,0.0,0.018534584,0.9994023,0.58552897
51,0.25429982,0.80788106,0.34727484,0.93442845
52,0.6234275,0.5161004,0.643074,0.5263901
53,0.3810399,0.48229685,0.66453844,0.5762407
54,0.11761123,0.89121604,0.19386494,0.9185595
55,0.12100874,0.89258116,0.1920189,0.9178323
56,0.39790776,0.49064615,0.5909993,0.54823685
57,0.0,0.6431084,0.906308,0.9687793
58,0.43997636,0.7442173,0.8542365,1.0
59,0.09046527,0.5077895,0.82397676,0.9782887
60,0.010985921,0.40855628,0.9038194,1.0
61,0.6264556,0.524031,0.647935,0.53671485
62,0.0905836,0.79611564,0.20080338,0.85541207
63,0.5830244,0.76084936,0.9093187,1.0
64,0.19695255,0.94314927,0.5904292,0.988968
65,0.4212058,0.8901062,0.46198514,0.9322227
66,0.33830693,0.80011266,0.5894255,0.86473346
67,0.31096092,0.7996872,0.59867436,0.9640272
68,0.5119108,0.5066453,0.6377021,0.54917294
69,0.63472635,0.5159661,0.6526222,0.52676195
70,0.63627195,0.7971012,1.0,0.9990627
71,0.38099188,0.5112736,0.44321978,0.5411267
72,0.48492342,0.8069034,0.5739864,0.8448223
73,0.5090663,0.52733135,0.64325166,0.5544591
74,0.0072743734,0.0891843,0.9571805,0.9603654
75,0.5358671,0.16075855,0.9507168,0.9819055
76,0.5619634,0.7368307,0.7214445,0.9964271
77,0.23306046,0.9627088,0.5879963,1.0
78,0.36825624,0.4784729,0.6608827,0.58029807
79,0.56423897,0.74130946,0.72938013,0.98825973
80,0.67315507,0.2815796,1.0,0.89450485
81,0.6835357,0.26765022,0.99327534,0.9109969
82,0.42554775,0.4978667,0.623841,0.5611208
83,0.38036606,0.5080649,0.45866913,0.5410201
84,0.37197125,0.49441686,0.6528407,0.58596843
85,0.62706864,0.22832206,0.97596437,0.93016994
86,0.63435036,0.51715016,0.656865,0.53638524
87,0.04894913,0.02785139,0.9297748,0.46502218
88,0.6382748,0.5249241,0.65627664,0.5382247
89,0.38517815,0.48305568,0.662788,0.5713535
90,0.512031,0.51460004,0.64175034,0.54673487
91,0.52622205,0.8736932,0.5854527,0.9755719
92,0.55140775,0.7505534,0.7275721,0.98476166
93,0.18818434,0.80259484,0.37977007,0.96196556
94,0.4346813,0.75529075,0.8984406,0.99641806
95,0.38607037,0.5160548,0.4411916,0.5383762
96,0.6071788,0.78890675,0.9890491,0.99461937
97,0.09672731,0.7149305,0.436733,0.7921689
98,0.06902908,0.7895626,0.20185825,0.8909127
99,0.6359723,0.5224539,0.6632199,0.5462514
