,a
0,0.89106196
1,0.79980564
2,0.68068314
3,0.5250063
4,0.427647
5,0.37495646
6,0.31632325
7,0.19011287
8,0.10655836
9,0.10536345
10,0.09263489
11,0.071025975
12,0.068559766
13,0.058217075
14,0.056465384
15,0.04321169
16,0.037646253
17,0.031725217
18,0.028590929
19,0.024829777
20,0.023176173
21,0.020151187
22,0.019717919
23,0.019147817
24,0.018358251
25,0.017413424
26,0.01628907
27,0.016167704
28,0.016108515
29,0.014287986
30,0.014205293
31,0.013692981
32,0.013327373
33,0.013233776
34,0.012235007
35,0.010886072
36,0.01083852
37,0.010181354
38,0.009066707
39,0.008746599
40,0.008535079
41,0.008476231
42,0.00826975
43,0.00819506
44,0.007554877
45,0.007142229
46,0.0071242577
47,0.007112279
48,0.0070225038
49,0.0069993096
50,0.0067217913
51,0.006631892
52,0.0055541177
53,0.0055465274
54,0.0051529305
55,0.0051238174
56,0.0049030585
57,0.0048655844
58,0.0046904366
59,0.004565111
60,0.0043710605
61,0.0043453607
62,0.0043331585
63,0.0043208734
64,0.0042085806
65,0.0039235484
66,0.0035683007
67,0.0034697284
68,0.003374359
69,0.0033048354
70,0.0030781464
71,0.0029946873
72,0.0026475363
73,0.0026007236
74,0.0025384568
75,0.002513215
76,0.0024081154
77,0.0023923987
78,0.0022862654
79,0.002244292
80,0.002225928
81,0.0022226507
82,0.002208823
83,0.0021805952
84,0.002135851
85,0.002080287
86,0.0020283172
87,0.0020248361
88,0.0020073694
89,0.0020047275
90,0.0019828482
91,0.0019557572
92,0.0019517784
93,0.0019181534
94,0.0019066377
95,0.0019051274
96,0.0019049265
97,0.0018760101
98,0.0018597905
99,0.0017124377
