,a
0,b'Person'
1,b'Footwear'
2,b'Footwear'
3,b'Human leg'
4,b'Footwear'
5,b'Woman'
6,b'Sports equipment'
7,b'Human arm'
8,b'Girl'
9,b'Clothing'
10,b'Footwear'
11,b'Footwear'
12,b'Human leg'
13,b'Mammal'
14,b'Human hand'
15,b'Man'
16,b'Boy'
17,b'Human arm'
18,b'Plant'
19,b'Human body'
20,b'Plant'
21,b'Human leg'
22,b'Footwear'
23,b'Plant'
24,b'Plant'
25,b'Plant'
26,b'Plant'
27,b'Plant'
28,b'Plant'
29,b'Plant'
30,b'Plant'
31,b'Plant'
32,b'Human leg'
33,b'Footwear'
34,b'Plant'
35,b'Footwear'
36,b'Plant'
37,b'Tree'
38,b'Tree'
39,b'Human hand'
40,b'Tree'
41,b'Plant'
42,b'Plant'
43,b'Plant'
44,b'Tree'
45,b'Plant'
46,b'Plant'
47,b'Plant'
48,b'Human leg'
49,b'Plant'
50,b'Plant'
51,b'Plant'
52,b'Plant'
53,b'Plant'
54,b'Human arm'
55,b'Footwear'
56,b'Skateboard'
57,b'Footwear'
58,b'Plant'
59,b'Plant'
60,b'Tree'
61,b'Sports equipment'
62,b'Fashion accessory'
63,b'Tree'
64,b'Plant'
65,b'Plant'
66,b'Hiking equipment'
67,b'Footwear'
68,b'Plant'
69,b'Plant'
70,b'Human hand'
71,b'Human arm'
72,b'Person'
73,b'Tree'
74,b'Plant'
75,b'Tree'
76,b'Tree'
77,b'Tree'
78,b'Plant'
79,b'Plant'
80,b'Human arm'
81,b'Plant'
82,b'Plant'
83,b'Plant'
84,b'Tree'
85,b'Tree'
86,b'Plant'
87,b'Plant'
88,b'Plant'
89,b'Tree'
90,b'Plant'
91,b'Plant'
92,b'Plant'
93,b'Plant'
94,b'Footwear'
95,b'Toy'
96,b'Plant'
97,b'Footwear'
98,b'Plant'
99,b'Plant'
