,a
0,0.8112169
1,0.6931878
2,0.6417418
3,0.6230461
4,0.42362094
5,0.36044577
6,0.27249572
7,0.2201549
8,0.21244556
9,0.17498973
10,0.1316066
11,0.1306208
12,0.12749211
13,0.1092905
14,0.0974384
15,0.052336536
16,0.04810078
17,0.043683168
18,0.041253246
19,0.035721898
20,0.033764593
21,0.031091614
22,0.030411415
23,0.029980332
24,0.02902071
25,0.027241103
26,0.025895694
27,0.025817266
28,0.024545645
29,0.024524868
30,0.022851188
31,0.022048254
32,0.021879895
33,0.02030312
34,0.019746209
35,0.018454097
36,0.017999029
37,0.016697375
38,0.016322073
39,0.016110335
40,0.015679594
41,0.015411129
42,0.014493532
43,0.01381833
44,0.013753289
45,0.013522858
46,0.012913873
47,0.012154374
48,0.0116444975
49,0.009988204
50,0.008397586
51,0.007388868
52,0.0066728787
53,0.0065404214
54,0.0063010333
55,0.0062914332
56,0.0061965478
57,0.0057294727
58,0.005728784
59,0.005287481
60,0.005216825
61,0.005180875
62,0.0051753703
63,0.005013295
64,0.0049198284
65,0.0049172984
66,0.004850199
67,0.004764123
68,0.004552698
69,0.004543258
70,0.0043975664
71,0.004317509
72,0.004132611
73,0.004097735
74,0.00396606
75,0.0038698253
76,0.0038423247
77,0.0037527068
78,0.0037360692
79,0.0034664695
80,0.0034279558
81,0.0032517435
82,0.0032292951
83,0.0031785076
84,0.0031404833
85,0.0031160808
86,0.0029568202
87,0.0028870937
88,0.0027989603
89,0.0027344774
90,0.002722622
91,0.002721608
92,0.002699102
93,0.0026243704
94,0.0026135142
95,0.0025726324
96,0.0025668188
97,0.0025594633
98,0.0025448073
99,0.0025284307
