,a
0,b'Person'
1,b'Person'
2,b'Human hand'
3,b'Human arm'
4,b'Human arm'
5,b'Person'
6,b'Clothing'
7,b'Animal'
8,b'Human hand'
9,b'Weapon'
10,b'Human hand'
11,b'Human arm'
12,b'Human arm'
13,b'Human arm'
14,b'Human hand'
15,b'Human hand'
16,b'Person'
17,b'Human hand'
18,b'Man'
19,b'Clothing'
20,b'Person'
21,b'Human arm'
22,b'Animal'
23,b'Human hand'
24,b'Person'
25,b'Human arm'
26,b'Human arm'
27,b'Human hand'
28,b'Human hand'
29,b'Human hand'
30,b'Weapon'
31,b'Toy'
32,b'Mammal'
33,b'Clothing'
34,b'Weapon'
35,b'Bird'
36,b'Bird'
37,b'Weapon'
38,b'Human hand'
39,b'Clothing'
40,b'Man'
41,b'Human arm'
42,b'Toy'
43,b'Clothing'
44,b'Human hand'
45,b'Human arm'
46,b'Human hand'
47,b'Human leg'
48,b'Toy'
49,b'Man'
50,b'Human leg'
51,b'Auto part'
52,b'Human body'
53,b'Vehicle'
54,b'Human leg'
55,b'Animal'
56,b'Medical equipment'
57,b'Human arm'
58,b'Human hand'
59,b'Skateboard'
60,b'Man'
61,b'Medical equipment'
62,b'Bat'
63,b'Dog'
64,b'Weapon'
65,b'Table'
66,b'Auto part'
67,b'Man'
68,b'Sewing machine'
69,b'Human leg'
70,b'Man'
71,b'Medical equipment'
72,b'Tool'
73,b'Glove'
74,b'Human hand'
75,b'Human body'
76,b'Human foot'
77,b'Bicycle'
78,b'Mammal'
79,b'Human body'
80,b'Mammal'
81,b'Medical equipment'
82,b'Human arm'
83,b'Person'
84,b'Auto part'
85,b'Human hand'
86,b'Human hand'
87,b'Person'
88,b'Man'
89,b'Human hand'
90,b'Human leg'
91,b'Clothing'
92,b'Mammal'
93,b'Bird'
94,b'Human hand'
95,b'Human hair'
96,b'Dog'
97,b'Clothing'
98,b'Human leg'
99,b'Toy'
