,a
0,b'Dog'
1,b'Human face'
2,b'Clothing'
3,b'Clothing'
4,b'Person'
5,b'Person'
6,b'Man'
7,b'Dog'
8,b'Woman'
9,b'Clothing'
10,b'Person'
11,b'Woman'
12,b'Woman'
13,b'Girl'
14,b'Man'
15,b'Human arm'
16,b'Person'
17,b'Mammal'
18,b'Human arm'
19,b'Boy'
20,b'Clothing'
21,b'Jacket'
22,b'Clothing'
23,b'Person'
24,b'Mammal'
25,b'Clothing'
26,b'Human arm'
27,b'Woman'
28,b'Clothing'
29,b'Carnivore'
30,b'Human hair'
31,b'Girl'
32,b'Human body'
33,b'Mammal'
34,b'Human arm'
35,b'Human hand'
36,b'Human arm'
37,b'Woman'
38,b'Mammal'
39,b'Clothing'
40,b'Boy'
41,b'Clothing'
42,b'Human head'
43,b'Human body'
44,b'Human leg'
45,b'Human hair'
46,b'Carnivore'
47,b'Human arm'
48,b'Human body'
49,b'Human arm'
50,b'Clothing'
51,b'Jacket'
52,b'Car'
53,b'Person'
54,b'Human arm'
55,b'Dress'
56,b'Human arm'
57,b'Land vehicle'
58,b'Truck'
59,b'Dog'
60,b'Girl'
61,b'Vehicle'
62,b'Suit'
63,b'Jacket'
64,b'Toy'
65,b'Human foot'
66,b'Human arm'
67,b'Toy'
68,b'Van'
69,b'Furniture'
70,b'Clothing'
71,b'Mammal'
72,b'Clothing'
73,b'Dog bed'
74,b'Human arm'
75,b'Dress'
76,b'Clothing'
77,b'Man'
78,b'Man'
79,b'Boy'
80,b'Mammal'
81,b'Human body'
82,b'Human arm'
83,b'Man'
84,b'Human arm'
85,b'Human face'
86,b'Human head'
87,b'Furniture'
88,b'Man'
89,b'Jacket'
90,b'Person'
91,b'Woman'
92,b'Human body'
93,b'Human foot'
94,b'Person'
95,b'Human arm'
96,b'Human arm'
97,b'Furniture'
98,b'Human hair'
99,b'Human leg'
