,a
0,b'Human face'
1,b'Human eye'
2,b'Human mouth'
3,b'Woman'
4,b'Man'
5,b'Person'
6,b'Human eye'
7,b'Human nose'
8,b'Girl'
9,b'Human head'
10,b'Human mouth'
11,b'Human eye'
12,b'Boy'
13,b'Human hand'
14,b'Woman'
15,b'Man'
16,b'Human hair'
17,b'Person'
18,b'Clothing'
19,b'Clothing'
20,b'Lipstick'
21,b'Fashion accessory'
22,b'Human hair'
23,b'Clothing'
24,b'Human mouth'
25,b'Human nose'
26,b'Human mouth'
27,b'Fashion accessory'
28,b'Clothing'
29,b'Cosmetics'
30,b'Man'
31,b'Mammal'
32,b'Person'
33,b'Human body'
34,b'Human face'
35,b'Man'
36,b'Clothing'
37,b'Clothing'
38,b'Person'
39,b'Girl'
40,b'Human arm'
41,b'Man'
42,b'Human hand'
43,b'Woman'
44,b'Cosmetics'
45,b'Human head'
46,b'Human nose'
47,b'Human beard'
48,b'Person'
49,b'Clothing'
50,b'Man'
51,b'Girl'
52,b'Person'
53,b'Man'
54,b'Woman'
55,b'Clothing'
56,b'Woman'
57,b'Human nose'
58,b'Clothing'
59,b'Poster'
60,b'Human hand'
61,b'Human arm'
62,b'Clothing'
63,b'Clothing'
64,b'Sculpture'
65,b'Human hair'
66,b'Human ear'
67,b'Human hand'
68,b'Clothing'
69,b'Furniture'
70,b'Furniture'
71,b'Human face'
72,b'Human face'
73,b'Human hair'
74,b'Human body'
75,b'Fashion accessory'
76,b'Footwear'
77,b'Clothing'
78,b'Woman'
79,b'Fashion accessory'
80,b'Woman'
81,b'Footwear'
82,b'Human beard'
83,b'Man'
84,b'Human face'
85,b'Person'
86,b'Doll'
87,b'Human hand'
88,b'Mammal'
89,b'Footwear'
90,b'Human head'
91,b'Fashion accessory'
92,b'Woman'
93,b'Bottle'
94,b'Human mouth'
95,b'Human nose'
96,b'Chair'
97,b'Girl'
98,b'Window'
99,b'Human arm'
