,a
0,b'Man'
1,b'Human face'
2,b'Tree'
3,b'Clothing'
4,b'Tree'
5,b'Jacket'
6,b'Man'
7,b'Tree'
8,b'Tree'
9,b'Human ear'
10,b'Camera'
11,b'Human hair'
12,b'Tree'
13,b'Tree'
14,b'Tree'
15,b'Tree'
16,b'Tree'
17,b'Tree'
18,b'Person'
19,b'Human head'
20,b'Tree'
21,b'Tree'
22,b'Tree'
23,b'Human face'
24,b'Tree'
25,b'Person'
26,b'Tree'
27,b'Tree'
28,b'Tree'
29,b'Tree'
30,b'Tree'
31,b'Mammal'
32,b'Woman'
33,b'Human arm'
34,b'Tree'
35,b'Human nose'
36,b'Human arm'
37,b'Tree'
38,b'Suit'
39,b'Fashion accessory'
40,b'Coat'
41,b'Human head'
42,b'Tree'
43,b'Tree'
44,b'Human hand'
45,b'Boy'
46,b'House'
47,b'Man'
48,b'Tree'
49,b'Wheel'
50,b'Plant'
51,b'Tree'
52,b'Tree'
53,b'Tree'
54,b'Tree'
55,b'Human hair'
56,b'Tree'
57,b'Human body'
58,b'Tree'
59,b'Man'
60,b'Tree'
61,b'Human hand'
62,b'Man'
63,b'Car'
64,b'Tree'
65,b'Auto part'
66,b'Car'
67,b'Plant'
68,b'Plant'
69,b'Human hair'
70,b'Camera'
71,b'Human arm'
72,b'Camera'
73,b'Tree'
74,b'Tree'
75,b'Man'
76,b'Plant'
77,b'Building'
78,b'Tree'
79,b'Human arm'
80,b'Person'
81,b'Clothing'
82,b'Person'
83,b'Human hand'
84,b'Plant'
85,b'Tree'
86,b'Tree'
87,b'Plant'
88,b'Human arm'
89,b'Poster'
90,b'Tire'
91,b'Mammal'
92,b'Dress'
93,b'Tree'
94,b'Mammal'
95,b'Plant'
96,b'Plant'
97,b'Girl'
98,b'Human nose'
99,b'Plant'
