,a
0,b'Human face'
1,b'Woman'
2,b'Clothing'
3,b'Human ear'
4,b'Furniture'
5,b'Girl'
6,b'Human nose'
7,b'Human eye'
8,b'Human mouth'
9,b'Human hair'
10,b'Person'
11,b'Table'
12,b'Human head'
13,b'Drink'
14,b'Furniture'
15,b'Human hair'
16,b'Bottle'
17,b'Human nose'
18,b'Human eye'
19,b'Man'
20,b'Woman'
21,b'Human eye'
22,b'Human hair'
23,b'Furniture'
24,b'Human mouth'
25,b'Human hair'
26,b'Clothing'
27,b'Microphone'
28,b'Human head'
29,b'Kitchen appliance'
30,b'Human body'
31,b'Human mouth'
32,b'Clothing'
33,b'Shirt'
34,b'Lipstick'
35,b'Man'
36,b'Cabinetry'
37,b'Wine glass'
38,b'Mammal'
39,b'Bottle'
40,b'Human mouth'
41,b'Chair'
42,b'Desk'
43,b'Table'
44,b'Bottle'
45,b'Human body'
46,b'Tableware'
47,b'Clothing'
48,b'Human mouth'
49,b'Shelf'
50,b'Human mouth'
51,b'Boy'
52,b'Girl'
53,b'Kitchen appliance'
54,b'Bottle'
55,b'Fashion accessory'
56,b'Chair'
57,b'Human hair'
58,b'Fashion accessory'
59,b'Table'
60,b'Mammal'
61,b'Human ear'
62,b'Drink'
63,b'Furniture'
64,b'Wine'
65,b'Furniture'
66,b'Human body'
67,b'Furniture'
68,b'Table'
69,b'Human eye'
70,b'Human arm'
71,b'Clothing'
72,b'Drink'
73,b'Dress'
74,b'Kitchen appliance'
75,b'Kitchen appliance'
76,b'Table'
77,b'Window'
78,b'Human mouth'
79,b'Window'
80,b'Fashion accessory'
81,b'Fashion accessory'
82,b'Human ear'
83,b'Clothing'
84,b'Chair'
85,b'Chair'
86,b'Bottle'
87,b'Clothing'
88,b'Drink'
89,b'Countertop'
90,b'Sports uniform'
91,b'Woman'
92,b'Human nose'
93,b'Person'
94,b'Furniture'
95,b'Human face'
96,b'Countertop'
97,b'Human face'
98,b'Kitchen appliance'
99,b'Furniture'
