,a
0,b'Dog'
1,b'Clothing'
2,b'Dog'
3,b'Footwear'
4,b'Dog'
5,b'Man'
6,b'Person'
7,b'Clothing'
8,b'Human arm'
9,b'Human hand'
10,b'Clothing'
11,b'Clothing'
12,b'Human arm'
13,b'Carnivore'
14,b'Human arm'
15,b'Human arm'
16,b'Human arm'
17,b'Human arm'
18,b'Dog'
19,b'Human hand'
20,b'Mammal'
21,b'Human arm'
22,b'Clothing'
23,b'Clothing'
24,b'Human hand'
25,b'Person'
26,b'Clothing'
27,b'Human hand'
28,b'Person'
29,b'Human hand'
30,b'Human arm'
31,b'Clothing'
32,b'Human arm'
33,b'Carnivore'
34,b'Human hand'
35,b'Man'
36,b'Dog'
37,b'Human arm'
38,b'Mammal'
39,b'Clothing'
40,b'Human arm'
41,b'Human body'
42,b'Footwear'
43,b'Carnivore'
44,b'Human leg'
45,b'Human leg'
46,b'Fashion accessory'
47,b'Mammal'
48,b'Person'
49,b'Human hand'
50,b'Person'
51,b'Person'
52,b'Human hand'
53,b'Human hand'
54,b'Dog'
55,b'Sports uniform'
56,b'Clothing'
57,b'Human leg'
58,b'Human arm'
59,b'Human arm'
60,b'Human arm'
61,b'Human arm'
62,b'Footwear'
63,b'Human leg'
64,b'Furniture'
65,b'Human leg'
66,b'Human hand'
67,b'Woman'
68,b'Clothing'
69,b'Footwear'
70,b'Dog'
71,b'Clothing'
72,b'Human leg'
73,b'Suit'
74,b'Person'
75,b'Human leg'
76,b'Human arm'
77,b'Clothing'
78,b'Mammal'
79,b'Person'
80,b'Jeans'
81,b'Human leg'
82,b'Mammal'
83,b'Human hand'
84,b'Human arm'
85,b'Human leg'
86,b'Furniture'
87,b'Man'
88,b'Human leg'
89,b'Human hand'
90,b'Person'
91,b'Human hand'
92,b'Trousers'
93,b'Human leg'
94,b'Human face'
95,b'Human leg'
96,b'Human hand'
97,b'Human hand'
98,b'Human arm'
99,b'Human arm'
