,a
0,b'Man'
1,b'Footwear'
2,b'Man'
3,b'Footwear'
4,b'Clothing'
5,b'Clothing'
6,b'Person'
7,b'Human face'
8,b'Clothing'
9,b'Building'
10,b'Footwear'
11,b'Footwear'
12,b'Clothing'
13,b'Person'
14,b'Human face'
15,b'Human hair'
16,b'Human head'
17,b'Trousers'
18,b'Footwear'
19,b'Human leg'
20,b'Human head'
21,b'Human body'
22,b'Human leg'
23,b'Sports uniform'
24,b'Human head'
25,b'Human head'
26,b'Human body'
27,b'Human leg'
28,b'Person'
29,b'Man'
30,b'Human face'
31,b'Human hair'
32,b'Footwear'
33,b'Human hair'
34,b'Mammal'
35,b'Human leg'
36,b'Human leg'
37,b'Human head'
38,b'Window'
39,b'Human hair'
40,b'Woman'
41,b'Window'
42,b'Human leg'
43,b'Human arm'
44,b'Fashion accessory'
45,b'Man'
46,b'Mammal'
47,b'Footwear'
48,b'Human leg'
49,b'Land vehicle'
50,b'Sports equipment'
51,b'Human hair'
52,b'Man'
53,b'Human leg'
54,b'Human arm'
55,b'Vehicle'
56,b'Boy'
57,b'Footwear'
58,b'Clothing'
59,b'Human face'
60,b'Woman'
61,b'Human arm'
62,b'Jeans'
63,b'Window'
64,b'Person'
65,b'Jacket'
66,b'Fashion accessory'
67,b'House'
68,b'Man'
69,b'Person'
70,b'Human leg'
71,b'Human arm'
72,b'Woman'
73,b'Sports equipment'
74,b'Window'
75,b'Person'
76,b'Clothing'
77,b'Building'
78,b'Table'
79,b'Boy'
80,b'Window'
81,b'Person'
82,b'Jeans'
83,b'Clothing'
84,b'Human arm'
85,b'Office building'
86,b'Building'
87,b'Human hair'
88,b'Clothing'
89,b'Clothing'
90,b'Train'
91,b'Window'
92,b'Human arm'
93,b'Mammal'
94,b'Human body'
95,b'Human face'
96,b'Human arm'
97,b'Human arm'
98,b'Building'
99,b'Fashion accessory'
