,a
0,0.8412578
1,0.81284314
2,0.65114343
3,0.59494203
4,0.5884453
5,0.583393
6,0.42086974
7,0.36665615
8,0.36301154
9,0.35147497
10,0.30947265
11,0.27303037
12,0.2730292
13,0.237483
14,0.22541131
15,0.13695398
16,0.10597628
17,0.09017322
18,0.08321344
19,0.06216615
20,0.049208153
21,0.04586886
22,0.043493796
23,0.038316198
24,0.03770611
25,0.03732765
26,0.032518025
27,0.032074697
28,0.030463137
29,0.027737308
30,0.026317406
31,0.0262346
32,0.02576209
33,0.025182778
34,0.024147587
35,0.021299802
36,0.020793304
37,0.018441483
38,0.018256884
39,0.018166775
40,0.017232591
41,0.016737182
42,0.013906327
43,0.013879213
44,0.0130195385
45,0.012006718
46,0.011736127
47,0.011469939
48,0.011040885
49,0.01096004
50,0.010759096
51,0.01035111
52,0.010318425
53,0.009779841
54,0.009157873
55,0.008047227
56,0.0077606183
57,0.0077115516
58,0.007324933
59,0.0069688335
60,0.0066368217
61,0.0064933496
62,0.0063385163
63,0.0060544624
64,0.005978226
65,0.0058680796
66,0.005755164
67,0.005645267
68,0.005622822
69,0.0055486267
70,0.005417137
71,0.005291831
72,0.0052025374
73,0.004941326
74,0.0046792002
75,0.004532042
76,0.0044926396
77,0.004411851
78,0.0044103106
79,0.0043339944
80,0.0039176396
81,0.00389085
82,0.0038726688
83,0.0037454655
84,0.003680609
85,0.003627709
86,0.0035969405
87,0.0034056113
88,0.0033699195
89,0.0033503072
90,0.0033446883
91,0.0033113114
92,0.0032110158
93,0.0031281959
94,0.0030682536
95,0.0029866002
96,0.0027947137
97,0.0027903826
98,0.0027629815
99,0.0027601605
