,a
0,0.7693963
1,0.51522684
2,0.48034257
3,0.3537372
4,0.314599
5,0.29196838
6,0.27237505
7,0.24397013
8,0.2438576
9,0.2275264
10,0.21721101
11,0.18464328
12,0.18262807
13,0.16170606
14,0.1597812
15,0.15377417
16,0.14758857
17,0.13830133
18,0.12920573
19,0.123556755
20,0.111051954
21,0.10733056
22,0.105941996
23,0.10078896
24,0.09713422
25,0.08967872
26,0.08962186
27,0.08929308
28,0.08878894
29,0.08832391
30,0.086371884
31,0.08158752
32,0.0510568
33,0.044478856
34,0.043812126
35,0.042557687
36,0.038011067
37,0.036967
38,0.035621002
39,0.03482564
40,0.03352662
41,0.033293236
42,0.032005593
43,0.0312493
44,0.028417543
45,0.028268013
46,0.02556305
47,0.024263993
48,0.023870457
49,0.023487201
50,0.02341677
51,0.023389136
52,0.022638708
53,0.022613082
54,0.02236105
55,0.02175237
56,0.021559417
57,0.02005064
58,0.019156508
59,0.018327493
60,0.017942797
61,0.017593488
62,0.017589297
63,0.016531825
64,0.01638713
65,0.015964214
66,0.015709532
67,0.015547089
68,0.015205535
69,0.014607726
70,0.014134698
71,0.013841924
72,0.013060301
73,0.013027571
74,0.012427443
75,0.012297332
76,0.0118499445
77,0.011751228
78,0.011487228
79,0.011365717
80,0.0112578515
81,0.0109011475
82,0.010738182
83,0.010432506
84,0.0102658775
85,0.010187549
86,0.009782481
87,0.009428828
88,0.009278614
89,0.009088588
90,0.008711828
91,0.008403891
92,0.007958538
93,0.007895025
94,0.0076592974
95,0.007472964
96,0.007432731
97,0.007414846
98,0.007241302
99,0.0071872305
