,a
0,b'Human hand'
1,b'Human hand'
2,b'Human hand'
3,b'Human hand'
4,b'Human hand'
5,b'Human hand'
6,b'Human arm'
7,b'Person'
8,b'Human hand'
9,b'Human arm'
10,b'Dairy'
11,b'Human arm'
12,b'Drink'
13,b'Food'
14,b'Snack'
15,b'Human hand'
16,b'Person'
17,b'Clothing'
18,b'Food'
19,b'Bottle'
20,b'Human arm'
21,b'Human hand'
22,b'Human hand'
23,b'Glove'
24,b'Food'
25,b'Human hand'
26,b'Human arm'
27,b'Human hand'
28,b'Dairy'
29,b'Person'
30,b'Human face'
31,b'Food'
32,b'Dairy'
33,b'Human hand'
34,b'Human arm'
35,b'Clothing'
36,b'Food'
37,b'Human hand'
38,b'Drink'
39,b'Human hand'
40,b'Human leg'
41,b'Person'
42,b'Human face'
43,b'Human hand'
44,b'Human hand'
45,b'Person'
46,b'Clothing'
47,b'Human arm'
48,b'Human hand'
49,b'Man'
50,b'Human arm'
51,b'Food'
52,b'Food'
53,b'Human hand'
54,b'Person'
55,b'Human arm'
56,b'Clothing'
57,b'Snack'
58,b'Dessert'
59,b'Clothing'
60,b'Human leg'
61,b'Fast food'
62,b'Human foot'
63,b'Food'
64,b'Drink'
65,b'Bottle'
66,b'Human face'
67,b'Human body'
68,b'Human arm'
69,b'Human face'
70,b'Food'
71,b'Glove'
72,b'Clothing'
73,b'Baked goods'
74,b'Human head'
75,b'Clothing'
76,b'Dessert'
77,b'Food'
78,b'Food'
79,b'Human hand'
80,b'Table'
81,b'Candy'
82,b'Dairy'
83,b'Mammal'
84,b'Cosmetics'
85,b'Human arm'
86,b'Human face'
87,b'Human arm'
88,b'Human hand'
89,b'Dairy'
90,b'Snack'
91,b'Mammal'
92,b'Footwear'
93,b'Dessert'
94,b'Cheese'
95,b'Human foot'
96,b'Dairy'
97,b'Drink'
98,b'Dairy'
99,b'Baked goods'
