,a
0,b'Computer keyboard'
1,b'Dog'
2,b'Window'
3,b'Carnivore'
4,b'Desk'
5,b'Table'
6,b'Clothing'
7,b'Window'
8,b'Furniture'
9,b'Window'
10,b'Porch'
11,b'House'
12,b'Chair'
13,b'Mammal'
14,b'Animal'
15,b'Window'
16,b'Building'
17,b'Office supplies'
18,b'Chair'
19,b'Window'
20,b'Window'
21,b'Window'
22,b'Chair'
23,b'Window'
24,b'Human hand'
25,b'Clothing'
26,b'Window'
27,b'Clothing'
28,b'Person'
29,b'Cat'
30,b'Clothing'
31,b'Building'
32,b'Human hand'
33,b'Toy'
34,b'Window'
35,b'Office building'
36,b'Furniture'
37,b'Chair'
38,b'Window'
39,b'Furniture'
40,b'House'
41,b'Porch'
42,b'Sculpture'
43,b'Jeans'
44,b'Human leg'
45,b'Chair'
46,b'Porch'
47,b'Sculpture'
48,b'Stairs'
49,b'Window'
50,b'Window'
51,b'Furniture'
52,b'House'
53,b'Chair'
54,b'Furniture'
55,b'Man'
56,b'Cabinetry'
57,b'Chair'
58,b'Chair'
59,b'Window'
60,b'Window'
61,b'Window'
62,b'Door'
63,b'Person'
64,b'Pig'
65,b'Furniture'
66,b'Human leg'
67,b'Desk'
68,b'Person'
69,b'Window'
70,b'Table'
71,b'Furniture'
72,b'Clothing'
73,b'Human leg'
74,b'Food'
75,b'Furniture'
76,b'Stairs'
77,b'Toy'
78,b'Window'
79,b'Laptop'
80,b'Computer keyboard'
81,b'Window'
82,b'Snack'
83,b'Chair'
84,b'Mammal'
85,b'Vehicle'
86,b'Building'
87,b'Bird'
88,b'Window'
89,b'Table'
90,b'Furniture'
91,b'Countertop'
92,b'Horse'
93,b'Chair'
94,b'Person'
95,b'Door'
96,b'Chair'
97,b'Footwear'
98,b'Human arm'
99,b'Porch'
