,a
0,0.92589533
1,0.7829722
2,0.7015692
3,0.1342868
4,0.13379955
5,0.12358518
6,0.10470033
7,0.0971384
8,0.08993677
9,0.053473465
10,0.04365889
11,0.03613236
12,0.03604122
13,0.034968685
14,0.029627468
15,0.026508598
16,0.025130032
17,0.024916183
18,0.021931574
19,0.021487271
20,0.020746995
21,0.019894449
22,0.019874234
23,0.018839482
24,0.018071657
25,0.015461647
26,0.01504255
27,0.01273903
28,0.0126943905
29,0.012420207
30,0.010628251
31,0.010273688
32,0.009752398
33,0.009627691
34,0.008924908
35,0.008749086
36,0.0074747936
37,0.007423263
38,0.0074160052
39,0.0072936653
40,0.0071903197
41,0.00663874
42,0.006628339
43,0.006490304
44,0.0064588306
45,0.0062862854
46,0.0058256947
47,0.0055515147
48,0.0052622664
49,0.0051160683
50,0.004958558
51,0.004855925
52,0.004846938
53,0.004486423
54,0.004319639
55,0.003980481
56,0.0038725215
57,0.0036235095
58,0.0032451025
59,0.0032286337
60,0.003134845
61,0.0030705477
62,0.0030244356
63,0.002956683
64,0.0029062
65,0.002895957
66,0.002806611
67,0.002665788
68,0.0026037365
69,0.0025685297
70,0.0023996867
71,0.0023563066
72,0.0023461021
73,0.0023453317
74,0.0023287437
75,0.0022713037
76,0.0021582777
77,0.0021093953
78,0.0020973892
79,0.0020532664
80,0.0020008557
81,0.0019943896
82,0.0019584035
83,0.0019436768
84,0.0018894908
85,0.0018015316
86,0.0017178847
87,0.001646518
88,0.00155042
89,0.0015071401
90,0.0014881792
91,0.0014848206
92,0.0014490698
93,0.0014357675
94,0.0014236666
95,0.0013529935
96,0.0013030428
97,0.0012412869
98,0.0012270713
99,0.0011980763
