,a,b,c,d
0,0.30086404,0.08456333,0.9828824,0.9349164
1,0.16804019,0.035090484,1.0,0.5348737
2,0.043349966,0.0006112289,1.0,0.9439282
3,0.06545085,0.005104694,1.0,0.3488865
4,0.009469757,0.077321775,0.95582217,1.0
5,0.084246576,0.0,1.0,0.9799768
6,0.065443374,0.03417393,0.9393199,0.97569305
7,0.13615727,0.15546283,1.0,0.8938171
8,0.1785314,0.0035363005,0.97709274,0.97209126
9,0.04048635,0.024295386,0.97582096,0.8919392
10,0.025720088,0.022394257,0.56035095,0.98606944
11,0.13789895,0.17381592,0.85670984,0.8923943
12,0.5888327,0.026493378,0.98247296,0.9410522
13,0.23981641,0.10895695,0.9552942,0.8396586
14,0.10130496,0.09971741,0.8563432,0.70915955
15,0.0550796,0.711714,0.98082703,1.0
16,0.021337738,0.043429527,1.0,0.8405838
17,0.032599896,0.0,0.97778636,0.9999911
18,0.0014933777,0.0,0.5520784,0.992733
19,0.066945575,0.14823444,0.91573715,1.0
20,0.100435,0.0,0.8387065,0.9412869
21,0.051179864,0.14544037,0.92132854,0.9318026
22,0.0,0.058456037,0.55899864,0.9896055
23,0.09154501,0.0024949454,0.9948082,0.508367
24,0.10470037,0.034452513,0.6413117,0.9513589
25,0.10747747,0.1663161,0.9446564,0.968316
26,0.094952926,0.0011909484,0.8946966,0.7537573
27,0.0860345,0.013036956,1.0,0.7777748
28,0.051553193,0.02816265,0.5218362,0.96165097
29,0.2843234,0.122273706,0.766837,0.7850154
30,0.45828187,0.0,0.9930654,1.0
31,0.011249263,0.0051941583,0.23844737,0.20086944
32,0.49447557,0.0,0.9913465,0.9840982
33,0.0,0.0,0.96558493,0.7799031
34,0.17062101,0.3458119,0.75054026,0.97077286
35,0.04208537,0.086061284,0.97466534,0.9690593
36,0.018945212,0.016817931,0.9616722,0.78123176
37,0.31898734,0.01193161,0.89165,0.86499006
38,0.14057724,0.117266655,1.0,0.91043746
39,0.20765513,0.12495819,0.8897408,0.7866902
40,0.12913589,0.02544054,0.9826042,0.48256224
41,0.25999987,0.4018216,0.9980175,1.0
42,0.018257981,0.0012151527,0.5997173,0.2693056
43,0.11118744,0.0,1.0,0.5332646
44,0.006473567,0.032900847,0.57066935,0.9580297
45,0.05162992,0.2300338,0.88733035,0.9615119
46,0.1715907,0.19485775,0.9611763,0.9608929
47,0.12563904,0.12061447,1.0,0.90098935
48,0.040595043,0.109098926,0.8974339,0.85188645
49,0.025610784,0.13368255,0.828753,0.83624434
50,0.057485174,0.11306232,0.5774383,1.0
51,0.2337221,0.26096973,0.6797871,0.83570355
52,0.16319448,0.15301707,0.9221743,0.93137145
53,0.15853022,0.16466758,0.90813375,0.8721392
54,0.24980637,0.4536369,0.66253525,0.81623274
55,0.20591736,0.060724027,0.9364128,1.0
56,0.040780284,0.42331657,1.0,0.9851839
57,0.08910131,0.14368671,0.9506826,0.9129231
58,0.15507802,0.09241348,0.90735507,0.80776304
59,0.1963578,0.021037634,1.0,1.0
60,0.05883596,0.15188557,0.9916496,1.0
61,0.055915225,0.15018378,1.0,0.8982953
62,0.058518425,0.0,1.0,1.0
63,0.0952949,0.08846512,1.0,0.86432594
64,0.0607931,0.43323994,0.983171,0.9943376
65,0.089424185,0.015974617,0.9933555,1.0
66,0.09533259,0.039547578,0.9444098,0.5958105
67,0.0583903,0.016486015,0.8298328,0.7141501
68,0.16793431,0.0,1.0,1.0
69,0.0,0.0065944577,0.3782985,0.24079616
70,0.11496959,0.14279571,0.975523,0.8129393
71,0.11144125,0.17338741,0.9898448,0.9971649
72,0.006989238,0.0,0.39625478,0.24444774
73,0.08499235,0.0,0.4755946,1.0
74,0.16066216,0.15314437,0.8307365,0.9815217
75,0.048440706,0.05080711,0.9992723,0.618358
76,0.16033977,0.020917244,1.0,0.94687176
77,0.0,0.026167449,0.942781,0.74389905
78,0.26998812,0.0,1.0,0.77911896
79,0.23799035,0.09507862,0.95201033,0.7929608
80,0.15440898,0.1535221,1.0,0.9563729
81,0.0,0.046753235,1.0,0.9007449
82,0.036669236,0.020493163,0.566488,1.0
83,0.16004327,0.21093372,0.9114981,0.88250244
84,0.10192831,0.0,0.9796371,0.7405101
85,0.0,0.25057834,1.0,0.92393917
86,0.42660794,0.0023783874,1.0,0.9919297
87,0.09103541,0.015320052,1.0,0.8399589
88,0.26895282,0.05434757,1.0,0.9966244
89,0.071113385,0.23158386,0.92753553,0.8846025
90,0.08408949,0.14739105,0.93410593,0.91364735
91,0.01718239,0.0,0.5593601,1.0
92,0.37669688,0.6091684,0.98100823,1.0
93,0.13009186,0.21709357,1.0,0.8725922
94,0.113028005,0.13912418,0.95507634,0.9001687
95,0.35383567,0.0,0.95493835,1.0
96,0.040065996,0.041428488,0.5622544,1.0
97,0.24727648,0.0,0.9244207,0.8156916
98,0.0,0.057419736,1.0,0.7350461
99,0.13593177,0.13475193,0.94595855,0.8896148
