,a
0,0.57549655
1,0.5708361
2,0.5005632
3,0.32657745
4,0.27009544
5,0.18253161
6,0.17257987
7,0.17015815
8,0.16750805
9,0.08548803
10,0.08377756
11,0.07539137
12,0.074791
13,0.058662176
14,0.053638786
15,0.05281401
16,0.04650328
17,0.046031415
18,0.045612656
19,0.04473233
20,0.039206784
21,0.03764134
22,0.037036687
23,0.03548925
24,0.0341705
25,0.028937409
26,0.028781705
27,0.027714683
28,0.027565068
29,0.02670065
30,0.026369615
31,0.024956888
32,0.02424363
33,0.023063822
34,0.022039479
35,0.021855518
36,0.020779734
37,0.020641493
38,0.020179834
39,0.019565186
40,0.018890154
41,0.017783798
42,0.017233258
43,0.015859436
44,0.015489955
45,0.015234998
46,0.01487315
47,0.014636271
48,0.014356116
49,0.01385078
50,0.013553487
51,0.013429549
52,0.013426071
53,0.013070871
54,0.012970565
55,0.012841629
56,0.0127614
57,0.0123221325
58,0.012010752
59,0.011934833
60,0.011697215
61,0.011352998
62,0.0101305805
63,0.010065532
64,0.009718386
65,0.009715561
66,0.009675779
67,0.009309594
68,0.009306063
69,0.009176602
70,0.009066683
71,0.009058698
72,0.008631185
73,0.008628336
74,0.008480629
75,0.008337825
76,0.008297588
77,0.0071360865
78,0.0071057873
79,0.00705681
80,0.006868008
81,0.006864611
82,0.006728014
83,0.0067213783
84,0.006646264
85,0.0065547014
86,0.006504567
87,0.0064265407
88,0.0062593524
89,0.006064027
90,0.0060219737
91,0.006000734
92,0.005790039
93,0.005747055
94,0.0056559644
95,0.005531616
96,0.0053573875
97,0.0053151767
98,0.0051883156
99,0.005168907
