,a
0,b'Person'
1,b'Person'
2,b'Person'
3,b'Man'
4,b'Man'
5,b'Person'
6,b'Land vehicle'
7,b'Person'
8,b'Building'
9,b'Car'
10,b'Vehicle'
11,b'Man'
12,b'Man'
13,b'Man'
14,b'Horse'
15,b'Clothing'
16,b'Man'
17,b'Footwear'
18,b'Vehicle'
19,b'Footwear'
20,b'Person'
21,b'Mammal'
22,b'Clothing'
23,b'Person'
24,b'Clothing'
25,b'Human arm'
26,b'Man'
27,b'Person'
28,b'Clothing'
29,b'Clothing'
30,b'Clothing'
31,b'Man'
32,b'Person'
33,b'Human head'
34,b'Human face'
35,b'Vehicle'
36,b'Footwear'
37,b'Land vehicle'
38,b'Clothing'
39,b'Mammal'
40,b'Person'
41,b'Mammal'
42,b'Human head'
43,b'Man'
44,b'Car'
45,b'Clothing'
46,b'Clothing'
47,b'Land vehicle'
48,b'Mammal'
49,b'Window'
50,b'Land vehicle'
51,b'Guitar'
52,b'Person'
53,b'Mammal'
54,b'Clothing'
55,b'Clothing'
56,b'Motorcycle'
57,b'Weapon'
58,b'Toy'
59,b'Vehicle'
60,b'Clothing'
61,b'Human face'
62,b'Clothing'
63,b'Vehicle'
64,b'Person'
65,b'Clothing'
66,b'Human arm'
67,b'Human arm'
68,b'Footwear'
69,b'Clothing'
70,b'Mammal'
71,b'Person'
72,b'Animal'
73,b'Musical instrument'
74,b'Mammal'
75,b'Poster'
76,b'Weapon'
77,b'Man'
78,b'Human head'
79,b'Clothing'
80,b'Clothing'
81,b'Clothing'
82,b'Footwear'
83,b'Human body'
84,b'Man'
85,b'Man'
86,b'Human arm'
87,b'Auto part'
88,b'Mammal'
89,b'Car'
90,b'Human face'
91,b'Clothing'
92,b'Human body'
93,b'Clothing'
94,b'Man'
95,b'Human hair'
96,b'Human hair'
97,b'Human hair'
98,b'Human head'
99,b'Human arm'
