,a
0,b'Human face'
1,b'Woman'
2,b'Clothing'
3,b'Clothing'
4,b'Human nose'
5,b'Human ear'
6,b'Human mouth'
7,b'Fashion accessory'
8,b'Human hair'
9,b'Clothing'
10,b'Human eye'
11,b'Human hair'
12,b'Person'
13,b'Man'
14,b'Girl'
15,b'Human head'
16,b'Clothing'
17,b'Human eye'
18,b'Human hair'
19,b'Bottle'
20,b'Furniture'
21,b'Human mouth'
22,b'Fashion accessory'
23,b'Woman'
24,b'Earrings'
25,b'Clothing'
26,b'Boy'
27,b'Human hair'
28,b'Clothing'
29,b'Microphone'
30,b'Human hair'
31,b'Human hair'
32,b'Man'
33,b'Clothing'
34,b'Lipstick'
35,b'Human face'
36,b'Bottle'
37,b'Window'
38,b'Human mouth'
39,b'Clothing'
40,b'Toy'
41,b'Furniture'
42,b'Human eye'
43,b'Girl'
44,b'Woman'
45,b'Man'
46,b'Human hair'
47,b'Tool'
48,b'Dress'
49,b'Human eye'
50,b'Shirt'
51,b'Woman'
52,b'Furniture'
53,b'Human head'
54,b'Human head'
55,b'Human face'
56,b'Toy'
57,b'Human mouth'
58,b'Fashion accessory'
59,b'Drink'
60,b'Human body'
61,b'Furniture'
62,b'Table'
63,b'Human mouth'
64,b'Furniture'
65,b'Person'
66,b'Clothing'
67,b'Person'
68,b'Human hair'
69,b'Fashion accessory'
70,b'Clothing'
71,b'Human beard'
72,b'Window'
73,b'Office supplies'
74,b'Human hair'
75,b'Headphones'
76,b'Chair'
77,b'Woman'
78,b'Bowling equipment'
79,b'Furniture'
80,b'Mammal'
81,b'Girl'
82,b'Bowling equipment'
83,b'Window'
84,b'Human body'
85,b'Furniture'
86,b'Window'
87,b'Clothing'
88,b'Human hair'
89,b'Clothing'
90,b'Clothing'
91,b'Musical instrument'
92,b'Human body'
93,b'Person'
94,b'Bottle'
95,b'Office supplies'
96,b'Kitchen appliance'
97,b'Home appliance'
98,b'Table'
99,b'Boy'
