,a
0,0.92567474
1,0.7362006
2,0.6934838
3,0.6496652
4,0.3204128
5,0.23256613
6,0.16960584
7,0.12824968
8,0.09084115
9,0.08058691
10,0.076470114
11,0.05863247
12,0.057449363
13,0.051258463
14,0.05081688
15,0.045547754
16,0.03977338
17,0.037235662
18,0.03590484
19,0.024898376
20,0.02386255
21,0.021616431
22,0.020243278
23,0.020207051
24,0.018504677
25,0.016286986
26,0.0152107105
27,0.014901062
28,0.012226958
29,0.012154973
30,0.010684125
31,0.010520029
32,0.009905362
33,0.0097100325
34,0.00885258
35,0.008406433
36,0.008097773
37,0.0077926917
38,0.007703975
39,0.0075622676
40,0.0073504834
41,0.0071220403
42,0.0066551357
43,0.006317464
44,0.005959209
45,0.005862857
46,0.00577151
47,0.005578085
48,0.0055645257
49,0.005360947
50,0.0052697407
51,0.0052281027
52,0.0048942203
53,0.004730819
54,0.004606396
55,0.0044831024
56,0.004419162
57,0.0043395306
58,0.004324693
59,0.0041410597
60,0.004102913
61,0.0038697978
62,0.0038090784
63,0.003709799
64,0.003607484
65,0.0036027832
66,0.0034376397
67,0.0034051768
68,0.0031553016
69,0.0031125173
70,0.00311062
71,0.0030480702
72,0.0029934887
73,0.0027343428
74,0.002377336
75,0.0023596091
76,0.0023563202
77,0.0022892915
78,0.0022041383
79,0.0021322302
80,0.0020546499
81,0.0020252608
82,0.0019678532
83,0.0019633065
84,0.0019572873
85,0.0018600231
86,0.0018525934
87,0.0017755639
88,0.0017601288
89,0.0016592776
90,0.001644365
91,0.0016442621
92,0.0016430491
93,0.0016382905
94,0.0015194613
95,0.0014577982
96,0.0014381845
97,0.0014040339
98,0.0013649813
99,0.001347044
