,a
0,b'Human face'
1,b'Woman'
2,b'Clothing'
3,b'Person'
4,b'Human mouth'
5,b'Man'
6,b'Human head'
7,b'Human nose'
8,b'Human eye'
9,b'Girl'
10,b'Human ear'
11,b'Clothing'
12,b'Human mouth'
13,b'Human arm'
14,b'Human hair'
15,b'Boy'
16,b'Human mouth'
17,b'Person'
18,b'Toy'
19,b'Human hair'
20,b'Human arm'
21,b'Human eye'
22,b'Human body'
23,b'Furniture'
24,b'Lipstick'
25,b'Bottle'
26,b'Bottle'
27,b'Musical instrument'
28,b'Mammal'
29,b'Human hand'
30,b'Furniture'
31,b'Woman'
32,b'Man'
33,b'Clothing'
34,b'Clothing'
35,b'Toy'
36,b'Human hair'
37,b'Shirt'
38,b'Human eye'
39,b'Human hair'
40,b'Human body'
41,b'Person'
42,b'Human hair'
43,b'Musical instrument'
44,b'Food'
45,b'Clothing'
46,b'Furniture'
47,b'Human body'
48,b'Drink'
49,b'Bottle'
50,b'Furniture'
51,b'Fashion accessory'
52,b'Clothing'
53,b'Dress'
54,b'Human beard'
55,b'Human nose'
56,b'Furniture'
57,b'Candle'
58,b'Chair'
59,b'Furniture'
60,b'Human arm'
61,b'Boy'
62,b'Person'
63,b'Girl'
64,b'Shirt'
65,b'Clothing'
66,b'Human nose'
67,b'Book'
68,b'Person'
69,b'Toy'
70,b'Person'
71,b'Woman'
72,b'Snack'
73,b'Fashion accessory'
74,b'Clothing'
75,b'Sports uniform'
76,b'Human arm'
77,b'Table'
78,b'Girl'
79,b'Office supplies'
80,b'Clothing'
81,b'Human head'
82,b'Human ear'
83,b'Toy'
84,b'Furniture'
85,b'Fashion accessory'
86,b'Clothing'
87,b'Fast food'
88,b'Suit'
89,b'Poster'
90,b'Clothing'
91,b'Man'
92,b'Human eye'
93,b'Human hair'
94,b'Clothing'
95,b'Tableware'
96,b'Vase'
97,b'Human arm'
98,b'Toy'
99,b'Clothing'
