,a
0,b'Human face'
1,b'Woman'
2,b'Person'
3,b'Clothing'
4,b'Shelf'
5,b'Girl'
6,b'Human arm'
7,b'Human hand'
8,b'Person'
9,b'Person'
10,b'Human head'
11,b'Clothing'
12,b'Human hair'
13,b'Person'
14,b'Dress'
15,b'Person'
16,b'Fashion accessory'
17,b'Woman'
18,b'Person'
19,b'Woman'
20,b'Clothing'
21,b'Person'
22,b'Human arm'
23,b'Furniture'
24,b'Woman'
25,b'Person'
26,b'Human ear'
27,b'Man'
28,b'Human hand'
29,b'Shelf'
30,b'Clothing'
31,b'Crown'
32,b'Woman'
33,b'Human hand'
34,b'Human body'
35,b'Person'
36,b'Human hair'
37,b'Human arm'
38,b'Human hair'
39,b'Fashion accessory'
40,b'Person'
41,b'Girl'
42,b'Human arm'
43,b'Human hand'
44,b'Shelf'
45,b'Human hair'
46,b'Clothing'
47,b'Girl'
48,b'Shelf'
49,b'Human hand'
50,b'Fashion accessory'
51,b'Human hair'
52,b'Bookcase'
53,b'Mammal'
54,b'Human ear'
55,b'Book'
56,b'Shelf'
57,b'Shelf'
58,b'Human arm'
59,b'Human arm'
60,b'Woman'
61,b'Furniture'
62,b'Mammal'
63,b'Woman'
64,b'Man'
65,b'Woman'
66,b'Furniture'
67,b'Human arm'
68,b'Shelf'
69,b'Human face'
70,b'Woman'
71,b'Cabinetry'
72,b'Clothing'
73,b'Human arm'
74,b'Human hand'
75,b'Girl'
76,b'Clothing'
77,b'Clothing'
78,b'Clothing'
79,b'Window'
80,b'Human arm'
81,b'Person'
82,b'Human hair'
83,b'Human head'
84,b'Human head'
85,b'Earrings'
86,b'Shelf'
87,b'Human hair'
88,b'Human face'
89,b'Furniture'
90,b'Fashion accessory'
91,b'Mammal'
92,b'Boy'
93,b'Human ear'
94,b'Human face'
95,b'Person'
96,b'Human hand'
97,b'Clothing'
98,b'Human hair'
99,b'Human face'
