,a
0,b'Person'
1,b'Human hand'
2,b'Human hand'
3,b'Food'
4,b'Human hand'
5,b'Human arm'
6,b'Human arm'
7,b'Human hand'
8,b'Person'
9,b'Human hand'
10,b'Human arm'
11,b'Human hand'
12,b'Clothing'
13,b'Food'
14,b'Human arm'
15,b'Human hand'
16,b'Human hand'
17,b'Human hand'
18,b'Human hand'
19,b'Man'
20,b'Food'
21,b'Human arm'
22,b'Person'
23,b'Person'
24,b'Person'
25,b'Human hand'
26,b'Person'
27,b'Clothing'
28,b'Human hand'
29,b'Human arm'
30,b'Clothing'
31,b'Human hand'
32,b'Human hand'
33,b'Musical instrument'
34,b'Clothing'
35,b'Clothing'
36,b'Clothing'
37,b'Food'
38,b'Clothing'
39,b'Human arm'
40,b'Human arm'
41,b'Fashion accessory'
42,b'Human hand'
43,b'Human foot'
44,b'Guitar'
45,b'Human arm'
46,b'Human arm'
47,b'Fashion accessory'
48,b'Human hand'
49,b'Clothing'
50,b'Clothing'
51,b'Human hand'
52,b'Human hand'
53,b'Fashion accessory'
54,b'Clothing'
55,b'Headphones'
56,b'Human hand'
57,b'Clothing'
58,b'Human hand'
59,b'Clothing'
60,b'Human hand'
61,b'Tableware'
62,b'Human hand'
63,b'Mammal'
64,b'Fashion accessory'
65,b'Food'
66,b'Human hand'
67,b'Human arm'
68,b'Human body'
69,b'Food'
70,b'Clothing'
71,b'Human hand'
72,b'Musical instrument'
73,b'Human leg'
74,b'Drink'
75,b'Clothing'
76,b'Medical equipment'
77,b'Clothing'
78,b'Animal'
79,b'Human arm'
80,b'Human arm'
81,b'Woman'
82,b'Person'
83,b'Human hand'
84,b'Food'
85,b'Fashion accessory'
86,b'Human hand'
87,b'Human arm'
88,b'Medical equipment'
89,b'Food'
90,b'Clothing'
91,b'Human head'
92,b'Person'
93,b'Clothing'
94,b'Man'
95,b'Human face'
96,b'Food'
97,b'Auto part'
98,b'Person'
99,b'Footwear'
