,a
0,b'Human face'
1,b'Man'
2,b'Jeans'
3,b'Clothing'
4,b'Clothing'
5,b'Clothing'
6,b'Person'
7,b'Shorts'
8,b'Boy'
9,b'Human arm'
10,b'Woman'
11,b'Trousers'
12,b'Human head'
13,b'Human arm'
14,b'Human hair'
15,b'Human hand'
16,b'Human body'
17,b'Human leg'
18,b'Human leg'
19,b'Human arm'
20,b'Toy'
21,b'Girl'
22,b'Human arm'
23,b'Human leg'
24,b'Sports uniform'
25,b'Clothing'
26,b'Human arm'
27,b'Swimwear'
28,b'Human eye'
29,b'Human mouth'
30,b'Human eye'
31,b'Fashion accessory'
32,b'Human nose'
33,b'Mammal'
34,b'Shirt'
35,b'Human arm'
36,b'Door'
37,b'Poster'
38,b'Human arm'
39,b'Human eye'
40,b'Human hair'
41,b'Window'
42,b'Human mouth'
43,b'Human hand'
44,b'Human arm'
45,b'Window'
46,b'Human eye'
47,b'Furniture'
48,b'Human arm'
49,b'Human nose'
50,b'Man'
51,b'Sculpture'
52,b'Furniture'
53,b'Shorts'
54,b'Human nose'
55,b'Sports uniform'
56,b'Human hand'
57,b'Human leg'
58,b'Human body'
59,b'Door'
60,b'Human ear'
61,b'Human hand'
62,b'Person'
63,b'Human eye'
64,b'House'
65,b'Door'
66,b'Miniskirt'
67,b'Window'
68,b'Sports uniform'
69,b'Window'
70,b'Window'
71,b'Human face'
72,b'Human arm'
73,b'Human nose'
74,b'Window'
75,b'Table'
76,b'Fashion accessory'
77,b'Door'
78,b'Human eye'
79,b'Boy'
80,b'Window'
81,b'Human nose'
82,b'Swimwear'
83,b'Human eye'
84,b'Chair'
85,b'Furniture'
86,b'Dress'
87,b'Land vehicle'
88,b'Table'
89,b'Jeans'
90,b'House'
91,b'Human mouth'
92,b'Window'
93,b'House'
94,b'Human eye'
95,b'Human hand'
96,b'Building'
97,b'Picture frame'
98,b'Curtain'
99,b'Curtain'
