,a,b,c,d
0,0.21323332,0.32914996,0.7509623,0.60056055
1,0.18323092,0.066371456,0.98073274,0.78931874
2,0.6343485,0.035795745,0.9855732,0.97731656
3,0.14819497,0.055229187,0.9828324,0.9660335
4,0.6497304,0.009843215,0.9853295,0.62599796
5,0.16853921,0.28378376,0.5541048,0.60250795
6,0.17198576,0.26393515,0.71187705,0.61349756
7,0.5894335,0.43567413,0.6620054,0.54991204
8,0.39252028,0.5228958,0.44717968,0.58903295
9,0.3963981,0.39376158,0.45997208,0.4715122
10,0.14778107,0.23309353,0.72175825,0.6029504
11,0.42406267,0.26995867,0.57758033,0.33730942
12,0.43460318,0.46651083,0.5726573,0.5439396
13,0.1832412,0.298278,0.9882536,0.985851
14,0.371182,0.0,0.768026,0.15027663
15,0.14581566,0.09549003,0.93898785,0.94404906
16,0.23794703,0.15776342,0.72628343,0.43552712
17,0.15962024,0.043931503,0.99551994,0.9724972
18,0.2419987,0.025673522,0.9839869,0.53090036
19,0.17154363,0.92226315,0.56534046,0.9978905
20,0.32688513,0.6587411,0.44209597,0.70628095
21,0.36231944,0.15715142,0.73966587,0.36783734
22,0.37269384,0.1655353,0.78423685,0.36743322
23,0.1658934,0.66735226,0.5940497,0.9771411
24,0.33240753,0.6134972,0.68886906,0.7571904
25,0.1659698,0.19384888,0.8499932,0.62466437
26,0.25872833,0.1626642,0.8017303,0.44739813
27,0.38516876,0.0,0.7840494,0.1429827
28,0.49418306,0.040552482,0.9855474,0.7549876
29,0.6346215,0.4504053,0.97849023,1.0
30,0.12539622,0.15390965,0.7896239,0.6968598
31,0.5180769,0.17670502,0.7636019,0.3524851
32,0.43651515,0.16196102,0.9862734,1.0
33,0.17360127,0.67957485,0.5340508,0.93579143
34,0.13250886,0.020861091,1.0,0.9662204
35,0.17598005,0.30287784,0.43126497,0.5882239
36,0.15266813,0.20469949,0.8481115,0.6355161
37,0.3250378,0.6605871,0.43493283,0.70344764
38,0.15200432,0.9233343,0.5618858,0.9976921
39,0.6129641,0.07875626,0.9973333,0.92652684
40,0.1546611,0.04173973,0.9448865,0.68926126
41,0.13804431,0.016960315,0.9666084,0.6197116
42,0.18927348,0.12127636,0.84807134,0.54886174
43,0.3542771,0.6026603,0.67034084,0.76049024
44,0.11157293,0.23676413,0.7408887,0.8830392
45,0.47611773,0.122555345,0.7441888,0.22692055
46,0.15203428,0.20413713,0.85323775,0.6276237
47,0.6195539,0.5638336,0.99540263,0.986221
48,0.18467352,0.65866035,0.60719883,0.9443058
49,0.14283282,0.6459638,0.90233135,0.99671453
50,0.41913438,0.02631892,0.75117296,0.20498
51,0.5518805,0.07055443,0.9766964,1.0
52,0.5896592,0.44073212,0.6587246,0.54875696
53,0.35960135,0.16457157,0.7683389,0.36759788
54,0.1583655,0.20099641,0.8474697,0.6267148
55,0.64756703,0.0,1.0,0.8302978
56,0.372511,0.15812463,0.77475905,0.3659897
57,0.25562608,0.1667493,0.78349394,0.4473843
58,0.6223543,0.021627463,0.9905489,0.9743757
59,0.0747816,0.03128147,0.9815679,0.9675337
60,0.45760328,0.010492096,0.97861135,0.8671345
61,0.1980513,0.92456955,0.56545085,0.99504924
62,0.27717397,0.93011147,0.52801985,0.9866883
63,0.10852376,0.27687052,0.7460949,0.8324147
64,0.16337879,0.14453247,0.9885482,0.9778484
65,0.39687258,0.18935578,0.68061405,0.35194293
66,0.17256239,0.04327835,0.90748596,0.70964843
67,0.10303871,0.66708875,0.74881196,0.9931773
68,0.027269186,0.0436314,0.98841685,1.0
69,0.15240319,0.039313506,0.9911912,0.59866935
70,0.34472296,0.6026847,0.6649945,0.7563021
71,0.21243861,0.5383615,1.0,0.9340091
72,0.46746272,0.12235529,0.7559802,0.2343012
73,0.6128239,0.58431435,0.98299307,0.97873104
74,0.278953,0.16322868,0.76655895,0.4494865
75,0.5515595,0.13440078,0.7485233,0.20781124
76,0.46425217,0.122212216,0.7597772,0.232784
77,0.6178879,0.0,0.9933362,0.7933281
78,0.6006155,0.10014419,0.9799164,0.8958328
79,0.54034036,0.72407573,0.9899302,0.9969496
80,0.6562564,0.7499414,0.81202245,0.87972134
81,0.66567487,0.03639044,0.9618399,0.3982189
82,0.16255976,0.19839275,0.84219235,0.64222366
83,0.17838405,0.6648905,0.44394466,0.83248633
84,0.46489045,0.587317,0.95442784,1.0
85,0.40857047,0.0035809183,0.82263756,0.09652082
86,0.082039796,0.45397037,0.79564303,0.97306913
87,0.04720004,0.0848114,0.78716,1.0
88,0.24017815,0.06559481,0.82270294,0.4062854
89,0.2428812,0.160611,0.78080916,0.4519242
90,0.35509735,0.009627113,0.7789317,0.1414248
91,0.5523529,0.7095,1.0,0.99922705
92,0.36613324,0.17006469,0.7682404,0.36340705
93,0.14248322,0.18123436,0.76894593,0.6943625
94,0.3422565,0.6091577,0.658137,0.7523083
95,0.19203418,0.34618056,0.5456297,0.58148247
96,0.588502,0.5687306,0.9496464,0.98096126
97,0.6266005,0.56223637,0.98666483,0.9800823
98,0.4020585,0.004553866,0.75965804,0.144668
99,0.6011485,0.5898007,0.99318403,0.97806424
