,a
0,b'Human face'
1,b'Clothing'
2,b'Woman'
3,b'Man'
4,b'Person'
5,b'Woman'
6,b'Human hand'
7,b'Human hair'
8,b'Human mouth'
9,b'Human arm'
10,b'Human eye'
11,b'Human eye'
12,b'Human nose'
13,b'Person'
14,b'Human hand'
15,b'Man'
16,b'Human hand'
17,b'Human face'
18,b'Human hand'
19,b'Human hand'
20,b'Human hand'
21,b'Girl'
22,b'Human ear'
23,b'Man'
24,b'Human head'
25,b'Person'
26,b'Human hand'
27,b'Clothing'
28,b'Human arm'
29,b'Clothing'
30,b'Human hand'
31,b'Human arm'
32,b'Human arm'
33,b'Girl'
34,b'Clothing'
35,b'Human body'
36,b'Clothing'
37,b'Human arm'
38,b'Human hand'
39,b'Woman'
40,b'Lipstick'
41,b'Human face'
42,b'Woman'
43,b'Person'
44,b'Human arm'
45,b'Human hand'
46,b'Human hand'
47,b'Human arm'
48,b'Human hair'
49,b'Human head'
50,b'Man'
51,b'Mammal'
52,b'Human body'
53,b'Human arm'
54,b'Human arm'
55,b'Human hair'
56,b'Book'
57,b'Window'
58,b'Human hand'
59,b'Human arm'
60,b'Human arm'
61,b'Human hand'
62,b'Clothing'
63,b'Suit'
64,b'Furniture'
65,b'Boy'
66,b'Fashion accessory'
67,b'Clothing'
68,b'Human face'
69,b'Human body'
70,b'Human hand'
71,b'Human hand'
72,b'Clothing'
73,b'Woman'
74,b'Human face'
75,b'Man'
76,b'Person'
77,b'Human hand'
78,b'Human hair'
79,b'Human arm'
80,b'Human hair'
81,b'Human body'
82,b'Human arm'
83,b'Jacket'
84,b'Fashion accessory'
85,b'Shirt'
86,b'Human arm'
87,b'Shirt'
88,b'Human hand'
89,b'Boy'
90,b'Human arm'
91,b'Human arm'
92,b'Human arm'
93,b'Human hand'
94,b'Girl'
95,b'Person'
96,b'Human arm'
97,b'Human head'
98,b'Human arm'
99,b'Human arm'
