,a
0,b'Man'
1,b'Man'
2,b'Tree'
3,b'Clothing'
4,b'Human face'
5,b'Person'
6,b'Clothing'
7,b'Clothing'
8,b'Tree'
9,b'Person'
10,b'Jacket'
11,b'Trousers'
12,b'Tree'
13,b'Tree'
14,b'Man'
15,b'Person'
16,b'Human face'
17,b'Person'
18,b'Tree'
19,b'Man'
20,b'Jacket'
21,b'Tree'
22,b'Trousers'
23,b'Clothing'
24,b'Tree'
25,b'Tree'
26,b'Clothing'
27,b'Land vehicle'
28,b'Tree'
29,b'Human hair'
30,b'Tree'
31,b'Tree'
32,b'Person'
33,b'Tree'
34,b'Man'
35,b'Tree'
36,b'Man'
37,b'Tree'
38,b'Clothing'
39,b'Person'
40,b'Person'
41,b'Clothing'
42,b'Human arm'
43,b'Footwear'
44,b'Person'
45,b'Mammal'
46,b'Human arm'
47,b'Mammal'
48,b'Man'
49,b'Tree'
50,b'Human head'
51,b'Tree'
52,b'Person'
53,b'Vehicle'
54,b'Mammal'
55,b'Woman'
56,b'Human head'
57,b'Man'
58,b'Human hair'
59,b'Human leg'
60,b'Person'
61,b'Suit'
62,b'Mammal'
63,b'Human arm'
64,b'Cart'
65,b'Woman'
66,b'Woman'
67,b'Dog'
68,b'Jacket'
69,b'Human hand'
70,b'Coat'
71,b'Person'
72,b'Clothing'
73,b'Clothing'
74,b'Clothing'
75,b'Tree'
76,b'Human leg'
77,b'Man'
78,b'Coat'
79,b'Woman'
80,b'Human leg'
81,b'Clothing'
82,b'Jeans'
83,b'Human hand'
84,b'Mammal'
85,b'Human arm'
86,b'Man'
87,b'Footwear'
88,b'Mammal'
89,b'Human leg'
90,b'Wheel'
91,b'Tree'
92,b'Mammal'
93,b'Motorcycle'
94,b'Man'
95,b'Jeans'
96,b'Man'
97,b'Jacket'
98,b'Woman'
99,b'Human arm'
